dataset,cohort,analysis_subset,model,mode,analysis_tier,score_definition,sensitivity_scenario,factor,level_a,level_b,effect_formula,paired_result_n,paired_subject_n,mean_delta,median_delta,ci95_low,ci95_high,direction,direction_stability,bootstrap_replicates,seed
PHQ-8,DAIC-WOZ全量189人,test47,DeepSeek-V4-Pro,思考,主分析,canonical_excluding9,all,cleaning,uncleaned,cleaned,mean(abs_error_level_b - abs_error_level_a),188,47,0.0957446808510638,0.0,-0.2393617021276596,0.4202127659574468,harmful_level_b_higher_error,0.713,2000,20260803
PHQ-8,DAIC-WOZ全量189人,primary142,DeepSeek-V4-Pro,思考,主分析,canonical_excluding9,all,cleaning,uncleaned,cleaned,mean(abs_error_level_b - abs_error_level_a),568,142,-0.0070422535211267,0.0,-0.2113116197183098,0.2007042253521127,beneficial_level_b_lower_error,0.5215,2000,20260803
HAMD-17,PDCH标签99人,PDCH99,GLM-5.2,思考,主分析,canonical_excluding9,all,cleaning,uncleaned,cleaned,mean(abs_error_level_b - abs_error_level_a),396,99,0.2828282828282828,0.0,-0.0833333333333333,0.7197601010101007,harmful_level_b_higher_error,0.9295,2000,20260803
PHQ-8,DAIC-WOZ全量189人,test47,GLM-5.2,思考,主分析,canonical_excluding9,all,cleaning,uncleaned,cleaned,mean(abs_error_level_b - abs_error_level_a),188,47,0.0797872340425532,0.0,-0.3352393617021276,0.4627659574468085,harmful_level_b_higher_error,0.6495,2000,20260803
PHQ-8,DAIC-WOZ全量189人,primary142,GLM-5.2,思考,主分析,canonical_excluding9,all,cleaning,uncleaned,cleaned,mean(abs_error_level_b - abs_error_level_a),568,142,0.0880281690140845,0.0,-0.1338468309859155,0.2834947183098589,harmful_level_b_higher_error,0.795,2000,20260803
HAMD-17,PDCH标签99人,PDCH99,Kimi-K2.6,思考,主分析,canonical_excluding9,all,cleaning,uncleaned,cleaned,mean(abs_error_level_b - abs_error_level_a),396,99,0.0404040404040404,0.0,-0.3106691919191919,0.3888888888888889,harmful_level_b_higher_error,0.5985,2000,20260803
HAMD-17,PDCH标签99人,PDCH99,Qwen3.7-Max,思考,主分析,canonical_excluding9,all,cleaning,uncleaned,cleaned,mean(abs_error_level_b - abs_error_level_a),396,99,-0.0277777777777777,0.0,-0.3813762626262626,0.3257575757575757,beneficial_level_b_lower_error,0.549,2000,20260803
PHQ-8,DAIC-WOZ全量189人,test47,Qwen3.7-Max,思考,主分析,canonical_excluding9,all,cleaning,uncleaned,cleaned,mean(abs_error_level_b - abs_error_level_a),188,47,-0.3989361702127659,0.0,-0.675531914893617,-0.1382978723404255,beneficial_level_b_lower_error,0.9975,2000,20260803
PHQ-8,DAIC-WOZ全量189人,primary142,Qwen3.7-Max,思考,主分析,canonical_excluding9,all,cleaning,uncleaned,cleaned,mean(abs_error_level_b - abs_error_level_a),568,142,-0.2147887323943662,0.0,-0.3944102112676056,-0.035167253521127,beneficial_level_b_lower_error,0.989,2000,20260803
PHQ-8,DAIC-WOZ全量189人,test47,DeepSeek-V4-Pro,思考,主分析,canonical_excluding9,all,structure,unstructured,structured,mean(abs_error_level_b - abs_error_level_a),188,47,-0.0638297872340425,0.0,-0.6863031914893617,0.5214095744680844,beneficial_level_b_lower_error,0.5805,2000,20260803
PHQ-8,DAIC-WOZ全量189人,primary142,DeepSeek-V4-Pro,思考,主分析,canonical_excluding9,all,structure,unstructured,structured,mean(abs_error_level_b - abs_error_level_a),568,142,-0.4225352112676056,0.0,-0.8397887323943662,0.0246919014084504,beneficial_level_b_lower_error,0.971,2000,20260803
HAMD-17,PDCH标签99人,PDCH99,GLM-5.2,思考,主分析,canonical_excluding9,all,structure,unstructured,structured,mean(abs_error_level_b - abs_error_level_a),396,99,0.3232323232323232,0.0,-0.0379419191919191,0.6945075757575754,harmful_level_b_higher_error,0.9595,2000,20260803
PHQ-8,DAIC-WOZ全量189人,test47,GLM-5.2,思考,主分析,canonical_excluding9,all,structure,unstructured,structured,mean(abs_error_level_b - abs_error_level_a),188,47,0.3138297872340425,0.0,-0.2340425531914893,0.8617021276595744,harmful_level_b_higher_error,0.865,2000,20260803
PHQ-8,DAIC-WOZ全量189人,primary142,GLM-5.2,思考,主分析,canonical_excluding9,all,structure,unstructured,structured,mean(abs_error_level_b - abs_error_level_a),568,142,0.1830985915492957,0.0,-0.1074823943661971,0.4806778169014082,harmful_level_b_higher_error,0.8885,2000,20260803
HAMD-17,PDCH标签99人,PDCH99,Kimi-K2.6,思考,主分析,canonical_excluding9,all,structure,unstructured,structured,mean(abs_error_level_b - abs_error_level_a),396,99,-0.3888888888888889,-1.0,-0.98989898989899,0.2045454545454545,beneficial_level_b_lower_error,0.905,2000,20260803
HAMD-17,PDCH标签99人,PDCH99,Qwen3.7-Max,思考,主分析,canonical_excluding9,all,structure,unstructured,structured,mean(abs_error_level_b - abs_error_level_a),396,99,0.5075757575757576,0.0,0.0252525252525252,0.9823863636363632,harmful_level_b_higher_error,0.979,2000,20260803
PHQ-8,DAIC-WOZ全量189人,test47,Qwen3.7-Max,思考,主分析,canonical_excluding9,all,structure,unstructured,structured,mean(abs_error_level_b - abs_error_level_a),188,47,-0.1329787234042553,0.0,-0.6648936170212766,0.4256648936170205,beneficial_level_b_lower_error,0.686,2000,20260803
PHQ-8,DAIC-WOZ全量189人,primary142,Qwen3.7-Max,思考,主分析,canonical_excluding9,all,structure,unstructured,structured,mean(abs_error_level_b - abs_error_level_a),568,142,-0.6197183098591549,0.0,-0.9190140845070424,-0.3098151408450706,beneficial_level_b_lower_error,1.0,2000,20260803
PHQ-8,DAIC-WOZ全量189人,test47,DeepSeek-V4-Pro,思考,主分析,canonical_excluding9,all,scope,full_transcript,event_sequence,mean(abs_error_level_b - abs_error_level_a),188,47,-0.2553191489361702,0.0,-0.5107712765957446,-0.0158244680851071,beneficial_level_b_lower_error,0.98,2000,20260803
