level,dataset,cohort,model,mode,condition,baseline_condition,n,value_change_rate,mean_confidence_delta,mean_evidence_jaccard,mean_reasoning_jaccard
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,C03,408,0.12254901960784313,0.006495098039215685,0.5105618347708155,0.32512519552466895
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,C03,408,0.3088235294117647,0.030269607843137248,0.06055138029610592,0.18414779126438235
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C08,C03,408,0.30637254901960786,0.03321078431372548,0.06042306838922251,0.17936535584339303
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C11,C03,408,0.14705882352941177,0.007107843137254901,0.5503641289552836,0.3269904424314662
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C12,C03,408,0.19852941176470587,0.006249999999999999,0.5060760143461822,0.33849482821627697
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C15,C03,408,0.2647058823529412,0.0321078431372549,0.06388448889748516,0.19253258841449084
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C16,C03,408,0.25980392156862747,0.036151960784313715,0.06496516682755496,0.19427624823937842
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,思考,C04,C03,408,0.17647058823529413,-0.0018137254901960794,0.5165712256667478,0.33687948013459085
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,思考,C07,C03,408,0.26715686274509803,0.0006127450980392157,0.07007543430727534,0.1959992677131224
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,思考,C08,C03,408,0.26715686274509803,0.005833333333333331,0.06565141793406638,0.17871708520359814
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,思考,C11,C03,408,0.2034313725490196,-0.006372549019607842,0.487868844520253,0.31633386947988557
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,思考,C12,C03,408,0.19362745098039216,-0.02723039215686274,0.4806409613769896,0.3181068916468778
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,思考,C15,C03,408,0.20833333333333334,0.0100735294117647,0.06396199131760351,0.1976387636894781
item_score,HAMD-17,PDCH共同24人验证,GLM-5.2,思考,C16,C03,408,0.22549019607843138,0.013627450980392149,0.07034542899273016,0.2061599055378588
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,不思考,C04,C03,408,0.18627450980392157,-0.005857843137254901,0.44843319444613944,0.27791122605610585
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,不思考,C07,C03,408,0.3872549019607843,-0.012965686274509804,0.0469970136867796,0.15244240098150466
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,不思考,C08,C03,408,0.4485294117647059,-0.001936274509803922,0.04324793793068341,0.1532950368980718
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,不思考,C11,C03,408,0.16176470588235295,-0.04617647058823529,0.41507833217336615,0.2580823774828381
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,不思考,C12,C03,408,0.1568627450980392,0.004681372549019607,0.4481737809853023,0.29852791620451713
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,不思考,C15,C03,408,0.3627450980392157,-0.010637254901960783,0.05099788110077913,0.15711380968778285
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,不思考,C16,C03,408,0.3284313725490196,-0.0053921568627450945,0.05178024510976001,0.15835875152191473
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,思考,C04,C03,408,0.2107843137254902,0.005710784313725492,0.4341627320816512,0.28072301228320706
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,思考,C07,C03,408,0.3235294117647059,0.0031127450980392144,0.09071222433486689,0.1664205674872874
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,思考,C08,C03,408,0.34068627450980393,0.004411764705882351,0.07786370308746123,0.15618271963893282
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,思考,C11,C03,408,0.16176470588235295,-0.03014705882352942,0.4457111830545024,0.2797077568164945
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,思考,C12,C03,408,0.1323529411764706,0.0075735294117647,0.4732688045494454,0.293030087698388
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,思考,C15,C03,408,0.28431372549019607,-0.012720588235294119,0.058257007956423766,0.17244735278083528
item_score,HAMD-17,PDCH共同24人验证,Kimi-K2.6,思考,C16,C03,408,0.3088235294117647,-0.003651960784313726,0.05892999187640756,0.17946943723753683
item_score,HAMD-17,PDCH共同24人验证,Qwen3.7-Max,不思考,C04,C03,408,0.09803921568627451,-0.005392156862745097,0.6571246799834,0.3447783955646716
item_score,HAMD-17,PDCH共同24人验证,Qwen3.7-Max,不思考,C07,C03,408,0.2965686274509804,0.006568627450980393,0.045195699590630606,0.13864968060437594
item_score,HAMD-17,PDCH共同24人验证,Qwen3.7-Max,不思考,C08,C03,408,0.30637254901960786,0.003799019607843139,0.04592322605939223,0.1405230370520071
item_score,HAMD-17,PDCH共同24人验证,Qwen3.7-Max,不思考,C11,C03,408,0.06862745098039216,0.010588235294117648,0.5315199917569629,0.3197199337896848
