dataset,cohort,model,mode,score_category,n,evidence_present_rate,reasoning_present_rate,mean_confidence,mean_evidence_chars,mean_reasoning_chars
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,missing9,58,0.4827586206896552,1.0,0.8301724137931035,16.75862068965517,48.293103448275865
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,positive,1856,0.9994612068965517,1.0,0.84921875,42.524245689655174,53.046875
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,zero,1350,0.957037037037037,1.0,0.917,34.13111111111111,36.4837037037037
HAMD-17,PDCH共同24人验证,GLM-5.2,思考,missing9,39,0.358974358974359,1.0,0.8974358974358975,13.051282051282051,44.41025641025641
HAMD-17,PDCH共同24人验证,GLM-5.2,思考,positive,1781,1.0,1.0,0.8643739472206624,37.49073554183043,47.77259966311061
HAMD-17,PDCH共同24人验证,GLM-5.2,思考,zero,1444,0.932825484764543,1.0,0.9195290858725761,26.8303324099723,33.97229916897507
HAMD-17,PDCH共同24人验证,Kimi-K2.6,不思考,missing9,93,0.5698924731182796,1.0,0.6801075268817205,19.827956989247312,74.55913978494624
HAMD-17,PDCH共同24人验证,Kimi-K2.6,不思考,positive,2085,0.9980815347721822,0.9995203836930455,0.7976354916067147,55.402877697841724,90.99136690647482
HAMD-17,PDCH共同24人验证,Kimi-K2.6,不思考,zero,1086,0.9373848987108656,1.0,0.8777716390423572,36.42265193370166,46.04604051565378
HAMD-17,PDCH共同24人验证,Kimi-K2.6,思考,missing9,58,0.22413793103448276,1.0,0.8094827586206897,5.982758620689655,44.224137931034484
HAMD-17,PDCH共同24人验证,Kimi-K2.6,思考,positive,1636,1.0,1.0,0.8412775061124694,36.400977995110026,57.32334963325184
HAMD-17,PDCH共同24人验证,Kimi-K2.6,思考,zero,1570,0.8038216560509555,1.0,0.880859872611465,17.92547770700637,39.48216560509554
HAMD-17,PDCH共同24人验证,Qwen3.7-Max,不思考,missing9,58,0.41379310344827586,1.0,0.9318965517241379,10.724137931034482,60.275862068965516
HAMD-17,PDCH共同24人验证,Qwen3.7-Max,不思考,positive,1872,0.9989316239316239,1.0,0.8733226495726495,46.22275641025641,98.25747863247864
HAMD-17,PDCH共同24人验证,Qwen3.7-Max,不思考,zero,1334,0.946776611694153,1.0,0.9477886056971514,31.388305847076463,48.23463268365817
HAMD-17,PDCH共同24人验证,Qwen3.7-Max,思考,missing9,51,0.3137254901960784,1.0,0.9647058823529412,10.156862745098039,48.21568627450981
HAMD-17,PDCH共同24人验证,Qwen3.7-Max,思考,positive,1729,1.0,1.0,0.8880566801619432,36.95430884904569,49.850202429149796
HAMD-17,PDCH共同24人验证,Qwen3.7-Max,思考,zero,1484,0.8888140161725068,1.0,0.9316711590296496,24.802560646900268,35.3766846361186
HAMD-17,PDCH标签99人,GLM-5.2,思考,missing9,286,0.18181818181818182,1.0,0.9419580419580419,5.716783216783217,39.88461538461539
HAMD-17,PDCH标签99人,GLM-5.2,思考,positive,7819,0.999872106407469,1.0,0.858552244532549,37.75457219593299,48.291853178155776
HAMD-17,PDCH标签99人,GLM-5.2,思考,zero,5359,0.9063258070535548,0.9998133980220191,0.9129091248367233,26.42619891770853,35.03153573427878
HAMD-17,PDCH标签99人,Kimi-K2.6,不思考,missing9,453,0.33995584988962474,1.0,0.6705298013245033,11.399558498896248,60.06401766004415
HAMD-17,PDCH标签99人,Kimi-K2.6,不思考,positive,9009,0.9966699966699967,1.0,0.7915995115995116,57.93706293706294,91.000333000333
HAMD-17,PDCH标签99人,Kimi-K2.6,不思考,zero,4002,0.9195402298850575,1.0,0.8825462268865567,37.77411294352824,49.66841579210395
HAMD-17,PDCH标签99人,Kimi-K2.6,思考,missing9,330,0.1484848484848485,1.0,0.8174242424242424,2.9757575757575756,43.93030303030303
HAMD-17,PDCH标签99人,Kimi-K2.6,思考,positive,6937,1.0,1.0,0.8340637163038779,37.520253711979244,58.78636298111576
HAMD-17,PDCH标签99人,Kimi-K2.6,思考,zero,6197,0.7448765531708892,1.0,0.8846232047765048,17.81926738744554,40.01339357753752
HAMD-17,PDCH标签99人,Qwen3.7-Max,不思考,missing9,313,0.2268370607028754,1.0,0.9753993610223642,6.913738019169329,56.40894568690096
HAMD-17,PDCH标签99人,Qwen3.7-Max,不思考,positive,8282,0.9991547935281333,1.0,0.8655650808983337,45.15503501569669,99.8781695242695
HAMD-17,PDCH标签99人,Qwen3.7-Max,不思考,zero,4869,0.9369480386116246,1.0,0.9478044773054014,32.20106798110495,48.262887656603
