workspace,freeze_status,files,bytes
Depression_Paper,pointer_only,12,27826
Depression_Paper,selected_in_zip,9,11064970
PDCH,pointer_only,5,45188
PDCH,selected_in_zip,11,10137806
hamd_analysis,pointer_only,24,210551
hamd_analysis,selected_in_zip,247,64276391
leave-one-out,pointer_only,333,5955984575
分患者分析,pointer_only,1414,14256818
分患者分析,selected_in_zip,483,9600026
去噪声,pointer_only,2118,46864591
去噪声,selected_in_zip,1160,71014549
大句分析,selected_in_zip,1,1339363
小句分析,pointer_only,10,739219601
小句分析,selected_in_zip,504,57929791
