analysis_layer,method,item_id,item_name,subject_n,item_MAE,item_NAE
HAMD17_available,C03_GLM,1,抑郁情绪,99,0.7878787878787878,0.19696969696969696
HAMD17_available,C03_GLM,2,有罪感,99,0.5656565656565656,0.1414141414141414
HAMD17_available,C03_GLM,3,自杀,99,0.5252525252525253,0.13131313131313133
HAMD17_available,C03_GLM,4,入睡困难,99,0.41414141414141414,0.20707070707070707
HAMD17_available,C03_GLM,5,睡眠不深,99,0.46464646464646464,0.23232323232323232
HAMD17_available,C03_GLM,6,早醒,99,0.3434343434343434,0.1717171717171717
HAMD17_available,C03_GLM,7,工作和活动,99,0.6464646464646465,0.16161616161616163
HAMD17_available,C03_GLM,8,迟滞,99,0.5858585858585859,0.14646464646464646
HAMD17_available,C03_GLM,9,激越,99,0.5959595959595959,0.14898989898989898
HAMD17_available,C03_GLM,10,精神性焦虑,99,0.5858585858585859,0.14646464646464646
HAMD17_available,C03_GLM,11,躯体性焦虑,99,0.5555555555555556,0.1388888888888889
HAMD17_available,C03_GLM,12,胃肠道症状,99,0.16161616161616163,0.08080808080808081
HAMD17_available,C03_GLM,13,全身症状,99,0.31313131313131315,0.15656565656565657
HAMD17_available,C03_GLM,14,性症状,61,0.36065573770491804,0.18032786885245902
HAMD17_available,C03_GLM,15,疑病,99,0.40404040404040403,0.10101010101010101
HAMD17_available,C03_GLM,16,体重减轻,99,0.26262626262626265,0.13131313131313133
HAMD17_available,C03_GLM,17,自知力,99,0.2828282828282828,0.1414141414141414
HAMD17_available,C03_Kimi,1,抑郁情绪,99,0.6565656565656566,0.16414141414141414
HAMD17_available,C03_Kimi,2,有罪感,99,0.5959595959595959,0.14898989898989898
HAMD17_available,C03_Kimi,3,自杀,99,0.5353535353535354,0.13383838383838384
HAMD17_available,C03_Kimi,4,入睡困难,99,0.3838383838383838,0.1919191919191919
HAMD17_available,C03_Kimi,5,睡眠不深,99,0.6161616161616161,0.30808080808080807
HAMD17_available,C03_Kimi,6,早醒,99,0.3939393939393939,0.19696969696969696
HAMD17_available,C03_Kimi,7,工作和活动,99,0.5858585858585859,0.14646464646464646
HAMD17_available,C03_Kimi,8,迟滞,99,0.5151515151515151,0.12878787878787878
HAMD17_available,C03_Kimi,9,激越,99,0.5252525252525253,0.13131313131313133
HAMD17_available,C03_Kimi,10,精神性焦虑,99,0.6464646464646465,0.16161616161616163
HAMD17_available,C03_Kimi,11,躯体性焦虑,99,0.6464646464646465,0.16161616161616163
HAMD17_available,C03_Kimi,12,胃肠道症状,99,0.1414141414141414,0.0707070707070707
HAMD17_available,C03_Kimi,13,全身症状,99,0.3333333333333333,0.16666666666666666
HAMD17_available,C03_Kimi,14,性症状,63,0.38095238095238093,0.19047619047619047
HAMD17_available,C03_Kimi,15,疑病,99,0.47474747474747475,0.11868686868686869
HAMD17_available,C03_Kimi,16,体重减轻,99,0.25252525252525254,0.12626262626262627
HAMD17_available,C03_Kimi,17,自知力,99,0.21212121212121213,0.10606060606060606
HAMD17_available,C03_Qwen,1,抑郁情绪,99,0.7676767676767676,0.1919191919191919
HAMD17_available,C03_Qwen,2,有罪感,99,0.48484848484848486,0.12121212121212122
HAMD17_available,C03_Qwen,3,自杀,99,0.7070707070707071,0.17676767676767677
HAMD17_available,C03_Qwen,4,入睡困难,99,0.37373737373737376,0.18686868686868688
HAMD17_available,C03_Qwen,5,睡眠不深,99,0.46464646464646464,0.23232323232323232
HAMD17_available,C03_Qwen,6,早醒,99,0.35353535353535354,0.17676767676767677
HAMD17_available,C03_Qwen,7,工作和活动,99,0.6262626262626263,0.15656565656565657
