target_method,reference_method,metric,n,delta_target_minus_reference,ci_low,ci_high,p,q
CrossAI,C03_DeepSeek,total_MAE_subject,189,-0.7571428571428571,-1.0645634920634919,-0.4925925925925926,9.999000099990002e-05,0.00019998000199980003
CrossAI,C03_DeepSeek,item_NAE_subject,189,-0.002358906525573191,-0.01177303791887125,0.006702491181657847,0.6176382361763824,0.8718328167183282
CrossAI,C03_DeepSeek,cancellation_ratio_subject,189,0.1349113320541892,0.09523822539893968,0.17364509946255974,9.999000099990002e-05,0.00019998000199980003
CrossAI,C03_GLM,total_MAE_subject,189,0.07354497354497352,-0.05769841269841269,0.2063492063492063,0.2850714928507149,0.2850714928507149
CrossAI,C03_GLM,item_NAE_subject,189,0.014175485008818345,0.008861331569664904,0.01915895061728395,9.999000099990002e-05,0.0005999400059994001
CrossAI,C03_GLM,cancellation_ratio_subject,189,0.028410190632412857,0.0022357103507897164,0.05512491043641837,0.041995800419958006,0.05039496050394961
CrossAI,C03_Qwen,total_MAE_subject,189,-0.8841269841269842,-1.1598015873015872,-0.6042195767195769,9.999000099990002e-05,0.00019998000199980003
CrossAI,C03_Qwen,item_NAE_subject,189,0.0007275132275132297,-0.008311287477954142,0.0099211860670194,0.884011598840116,0.8840115988401159
CrossAI,C03_Qwen,cancellation_ratio_subject,189,0.15622323590577558,0.11907936698809712,0.19276009733946234,9.999000099990002e-05,0.00019998000199980003
CrossAI,WithinAI_DeepSeek,total_MAE_subject,189,-0.10952380952380954,-0.25978835978835974,0.048677248677248694,0.17228277172282772,0.20673932606739326
CrossAI,WithinAI_DeepSeek,item_NAE_subject,189,-0.003813932980599648,-0.00985615079365079,0.002205687830687826,0.23157684231576842,0.4631536846315368
CrossAI,WithinAI_DeepSeek,cancellation_ratio_subject,189,0.014356954039493731,-0.013324219578187826,0.043331046305252655,0.3364663533646635,0.3364663533646635
CrossAI,WithinAI_GLM,total_MAE_subject,189,0.16772486772486772,0.07724867724867726,0.2534523809523809,0.00029997000299970003,0.0004499550044995501
CrossAI,WithinAI_GLM,item_NAE_subject,189,0.0028439153439153413,-0.0011022927689594382,0.0069003527336860635,0.15478452154784522,0.4631536846315368
CrossAI,WithinAI_GLM,cancellation_ratio_subject,189,-0.021772422169247567,-0.038521995494217705,-0.004975371042831367,0.010698930106989302,0.016048395160483953
CrossAI,WithinAI_Qwen,total_MAE_subject,189,-0.42010582010582004,-0.599484126984127,-0.22804232804232802,9.999000099990002e-05,0.00019998000199980003
CrossAI,WithinAI_Qwen,item_NAE_subject,189,-0.0012786596119929467,-0.00855379188712522,0.0054238315696649,0.7265273472652735,0.8718328167183282
CrossAI,WithinAI_Qwen,cancellation_ratio_subject,189,0.08652777972105703,0.05655979509994449,0.11494458511627041,9.999000099990002e-05,0.00019998000199980003
