scale,analysis_layer,target_method,reference_method,metric,n,delta_target_minus_reference,ci_low,ci_high,p,q,direction
PHQ-8,PHQ189_pooled,CrossAI_C03,C03_DeepSeek-V4-Pro,total_MAE_subject,189,-0.5285714285714286,-0.7513359788359788,-0.3179365079365082,9.999000099990002e-05,9.999000099990002e-05,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_C03,C03_DeepSeek-V4-Pro,item_NAE_subject,189,-0.0177910052910052,-0.0265437610229276,-0.0091925705467372,0.0002999700029997,0.0004499550044995,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_C03,C03_DeepSeek-V4-Pro,cancellation_ratio_subject,189,0.0427129954114081,0.0072610668285271,0.0798551577757926,0.0257974202579742,0.0257974202579742,target higher
PHQ-8,PHQ189_pooled,CrossAI_C03,C03_GLM-5.2,total_MAE_subject,189,0.3021164021164021,0.1751322751322751,0.4264550264550264,9.999000099990002e-05,9.999000099990002e-05,target higher
PHQ-8,PHQ189_pooled,CrossAI_C03,C03_GLM-5.2,item_NAE_subject,189,-0.0012566137566137,-0.0054894179894179,0.0030654761904761,0.5755424457554245,0.5755424457554245,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_C03,C03_GLM-5.2,cancellation_ratio_subject,189,-0.0637881460103682,-0.0958551768631134,-0.0340203318139826,9.999000099990002e-05,0.0001499850014998,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_C03,C03_Qwen3.7-Max,total_MAE_subject,189,-0.6555555555555556,-0.830185185185185,-0.478267195767196,9.999000099990002e-05,9.999000099990002e-05,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_C03,C03_Qwen3.7-Max,item_NAE_subject,189,-0.0147045855379188,-0.0217598104056437,-0.0077154982363315,9.999000099990002e-05,0.0002999700029997,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_C03,C03_Qwen3.7-Max,cancellation_ratio_subject,189,0.0640248992629945,0.0355723896180245,0.0930882089691613,9.999000099990002e-05,0.0001499850014998,target higher
PHQ-8,PHQ189_pooled,CrossAI_Joint-A,C03_DeepSeek-V4-Pro,total_MAE_subject,189,-0.7084656084656084,-0.9926058201058202,-0.4465343915343917,9.999000099990002e-05,0.0001499850014998,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_Joint-A,C03_DeepSeek-V4-Pro,item_NAE_subject,189,-0.0089726631393298,-0.0184303350970017,-0.0001300705467372,0.0597940205979402,0.0896910308969103,target lower (favorable for error)
