scale,analysis_layer,result_role,method,method_label_zh,N,coverage,complete_rate,total_MAE,delta_total_MAE_vs_c03_glm,ci_low_vs_C03_GLM,ci_high_vs_C03_GLM,q_vs_C03_GLM,item_MAE,item_NAE,cancellation_ratio,weighted_kappa,interpretation
PHQ-8,PHQ189_pooled,primary,C03_DeepSeek-V4-Pro,固定 C03：DeepSeek-V4-Pro,189,1.0,1.0,4.084656084656085,0.8306878306878307,,,,0.6335978835978836,0.2111992945326278,0.1719175885842553,0.2525561340445414,固定 C03 单 AI 参照
PHQ-8,PHQ189_pooled,primary,C03_GLM-5.2,固定 C03：GLM-5.2,189,1.0,1.0,3.253968253968254,0.0,,,,0.583994708994709,0.1946649029982363,0.2784187300060315,0.2555880255760051,固定 C03 单 AI 参照
PHQ-8,PHQ189_pooled,primary,C03_Qwen3.7-Max,固定 C03：Qwen3.7-Max,189,1.0,1.0,4.211640211640212,0.957671957671958,,,,0.6243386243386243,0.2081128747795414,0.1506056847326688,0.2519087565330002,固定 C03 单 AI 参照
PHQ-8,PHQ189_pooled,primary,WithinAI_DeepSeek-V4-Pro_A,单 AI 内 DeepSeek-V4-Pro：A,189,1.0,1.0,3.305291005291005,0.0513227513227509,,,,0.6577380952380952,0.2192460317460317,0.3262297050392288,0.1945151221204704,单 AI 内按 A 选 condition
PHQ-8,PHQ189_pooled,primary,WithinAI_GLM-5.2_A,单 AI 内 GLM-5.2：A,189,1.0,1.0,3.2566137566137567,0.0026455026455027,,,,0.603505291005291,0.201168430335097,0.3042591065606938,0.2273241027284324,单 AI 内按 A 选 condition
PHQ-8,PHQ189_pooled,primary,WithinAI_Qwen3.7-Max_A,单 AI 内 Qwen3.7-Max：A,189,1.0,1.0,3.5989417989418,0.3449735449735458,,,,0.6316137566137566,0.2105379188712522,0.2378678628491887,0.230465666060556,单 AI 内按 A 选 condition
PHQ-8,PHQ189_pooled,primary,WithinAI_DeepSeek-V4-Pro_B,单 AI 内 DeepSeek-V4-Pro：B,189,1.0,1.0,3.693650793650794,0.4396825396825399,,,,0.6299603174603176,0.2099867724867725,0.2443604426144108,0.2452576678218202,单 AI 内按 B 选 condition
PHQ-8,PHQ189_pooled,primary,WithinAI_GLM-5.2_B,单 AI 内 GLM-5.2：B,189,1.0,1.0,3.2507936507936512,-0.0031746031746027,,,,0.605026455026455,0.2016754850088183,0.3012884939869067,0.2361077985821984,单 AI 内按 B 选 condition
PHQ-8,PHQ189_pooled,primary,WithinAI_Qwen3.7-Max_B,单 AI 内 Qwen3.7-Max：B,189,1.0,1.0,3.737566137566137,0.4835978835978829,,,,0.6121693121693121,0.2040564373897707,0.2119557250509631,0.2495513207088503,单 AI 内按 B 选 condition
PHQ-8,PHQ189_pooled,primary,CrossAI_C03,跨 AI：C03,189,1.0,1.0,3.556084656084656,0.3021164021164022,0.1751322751322751,0.4264550264550264,9.999000099990002e-05,0.5802248677248677,0.1934082892416225,0.2146305839956633,0.2605204576883919,跨 AI，condition 固定 C03
PHQ-8,PHQ189_pooled,primary,CrossAI_Joint-A,跨 AI：Joint-A,189,1.0,1.0,3.376190476190476,0.1222222222222222,1.389247329755819e-17,0.2502645502645503,0.055994400559944,0.6066798941798941,0.202226631393298,0.2879677876503273,0.2306630837110596,直接联合按 rho 选路
PHQ-8,PHQ189_pooled,primary,CrossAI_Joint-B,跨 AI：Joint-B,189,1.0,1.0,3.51957671957672,0.2656084656084658,0.1306878306878306,0.4095238095238094,0.0001999800019998,0.5969576719576719,0.1989858906525573,0.2487575475670713,0.2226483370772769,直接联合按 item MAE 选路
PHQ-8,PHQ189_pooled,primary,CrossAI_Conservative-C,跨 AI：Conservative-C,189,1.0,1.0,3.547089947089946,0.2931216931216922,0.1703703703703704,0.4169444444444444,9.999000099990002e-05,0.5797619047619047,0.1932539682539682,0.2154974919260633,0.2560566350767992,C03 锚定，one-SE 外才切换
HAMD-17,HAMD16_core,primary,C03_GLM-5.2,固定 C03：GLM-5.2,99,1.0,1.0,3.515151515151515,0.0,,,,0.4684343434343434,0.1521464646464646,0.5286653862411438,0.5796391195701198,固定 C03 单 AI 参照
HAMD-17,HAMD16_core,primary,C03_Kimi-K2.6,固定 C03：Kimi-K2.6,99,1.0,1.0,4.101010101010101,0.5858585858585861,,,,0.4696969696969697,0.1538825757575757,0.4304235046659289,0.5730301245032285,固定 C03 单 AI 参照
HAMD-17,HAMD16_core,primary,C03_Qwen3.7-Max,固定 C03：Qwen3.7-Max,99,1.0,1.0,3.585858585858586,0.0707070707070709,,,,0.4627525252525252,0.147885101010101,0.4974535928190117,0.5797587155574305,固定 C03 单 AI 参照
HAMD-17,HAMD16_core,primary,WithinAI_GLM-5.2_A,单 AI 内 GLM-5.2：A,99,1.0,1.0,3.392929292929293,-0.1222222222222222,,,,0.4820075757575757,0.1581281565656565,0.5618945119503334,0.5861654732556879,单 AI 内按 A 选 condition
HAMD-17,HAMD16_core,primary,WithinAI_Kimi-K2.6_A,单 AI 内 Kimi-K2.6：A,99,1.0,1.0,3.597979797979798,0.0828282828282827,,,,0.5430555555555556,0.1772253787878787,0.5639302508272394,0.5005837094703512,单 AI 内按 A 选 condition
HAMD-17,HAMD16_core,primary,WithinAI_Qwen3.7-Max_A,单 AI 内 Qwen3.7-Max：A,99,1.0,1.0,3.4323232323232324,-0.0828282828282827,,,,0.5109848484848485,0.1660511363636363,0.5580744094938673,0.5228849915537581,单 AI 内按 A 选 condition
HAMD-17,HAMD16_core,primary,WithinAI_GLM-5.2_B,单 AI 内 GLM-5.2：B,99,1.0,1.0,3.2979797979797976,-0.2171717171717175,,,,0.4755681818181818,0.1566603535353535,0.5663192522175541,0.5853909394930715,单 AI 内按 B 选 condition
HAMD-17,HAMD16_core,primary,WithinAI_Kimi-K2.6_B,单 AI 内 Kimi-K2.6：B,99,1.0,1.0,3.926262626262626,0.411111111111111,,,,0.4892045454545454,0.1601957070707071,0.4856288878481391,0.5596419270835826,单 AI 内按 B 选 condition
HAMD-17,HAMD16_core,primary,WithinAI_Qwen3.7-Max_B,单 AI 内 Qwen3.7-Max：B,99,1.0,1.0,3.373737373737374,-0.141414141414141,,,,0.4953282828282828,0.1596590909090909,0.56268671827941,0.5601464301287301,单 AI 内按 B 选 condition
HAMD-17,HAMD16_core,primary,CrossAI_C03,跨 AI：C03,99,1.0,1.0,3.4353535353535354,-0.0797979797979797,-0.4475505050505051,0.2728282828282823,0.6592340765923408,0.454861111111111,0.1494002525252525,0.5225049013507124,0.6020327185071648,跨 AI，condition 固定 C03
HAMD-17,HAMD16_core,primary,CrossAI_Joint-A,跨 AI：Joint-A,99,1.0,1.0,3.4818181818181824,-0.0333333333333327,-0.4687121212121211,0.4152020202020199,0.8841115888411158,0.4990530303030302,0.1646938131313131,0.5450757477608027,0.5593280503976242,直接联合按 rho 选路
HAMD-17,HAMD16_core,primary,CrossAI_Joint-B,跨 AI：Joint-B,99,1.0,1.0,3.416161616161616,-0.0989898989898994,-0.4930050505050505,0.3091161616161614,0.6314368563143685,0.4724747474747475,0.156060606060606,0.5446475535423841,0.5917440389342432,直接联合按 item MAE 选路
HAMD-17,HAMD16_core,primary,CrossAI_Conservative-C,跨 AI：Conservative-C,99,1.0,1.0,3.372727272727273,-0.1424242424242421,-0.5292929292929294,0.2334848484848476,0.4644535546445356,0.4626893939393939,0.1517518939393939,0.5337362201200272,0.5974324445747292,C03 锚定，one-SE 外才切换
