scale,analysis_layer,result_role,method,total_MAE,delta_total_MAE_vs_c03_glm,ci_low_vs_C03_GLM,ci_high_vs_C03_GLM,q_vs_C03_GLM,item_NAE,cancellation_ratio,coverage,complete_rate
PHQ-8,PHQ189_pooled,primary,C03_DeepSeek-V4-Pro,4.084656084656085,0.8306878306878307,,,,0.2111992945326278,0.1719175885842553,1.0,1.0
PHQ-8,PHQ189_pooled,primary,C03_GLM-5.2,3.253968253968254,0.0,,,,0.1946649029982363,0.2784187300060315,1.0,1.0
PHQ-8,PHQ189_pooled,primary,C03_Qwen3.7-Max,4.211640211640212,0.957671957671958,,,,0.2081128747795414,0.1506056847326688,1.0,1.0
PHQ-8,PHQ189_pooled,primary,WithinAI_DeepSeek-V4-Pro_A,3.305291005291005,0.0513227513227509,,,,0.2192460317460317,0.3262297050392288,1.0,1.0
PHQ-8,PHQ189_pooled,primary,WithinAI_GLM-5.2_A,3.2566137566137567,0.0026455026455027,,,,0.201168430335097,0.3042591065606938,1.0,1.0
PHQ-8,PHQ189_pooled,primary,WithinAI_Qwen3.7-Max_A,3.5989417989418,0.3449735449735458,,,,0.2105379188712522,0.2378678628491887,1.0,1.0
PHQ-8,PHQ189_pooled,primary,WithinAI_DeepSeek-V4-Pro_B,3.693650793650794,0.4396825396825399,,,,0.2099867724867725,0.2443604426144108,1.0,1.0
PHQ-8,PHQ189_pooled,primary,WithinAI_GLM-5.2_B,3.2507936507936512,-0.0031746031746027,,,,0.2016754850088183,0.3012884939869067,1.0,1.0
PHQ-8,PHQ189_pooled,primary,WithinAI_Qwen3.7-Max_B,3.737566137566137,0.4835978835978829,,,,0.2040564373897707,0.2119557250509631,1.0,1.0
PHQ-8,PHQ189_pooled,primary,CrossAI_C03,3.556084656084656,0.3021164021164022,0.1751322751322751,0.4264550264550264,9.999000099990002e-05,0.1934082892416225,0.2146305839956633,1.0,1.0
PHQ-8,PHQ189_pooled,primary,CrossAI_Joint-A,3.376190476190476,0.1222222222222222,1.389247329755819e-17,0.2502645502645503,0.055994400559944,0.202226631393298,0.2879677876503273,1.0,1.0
PHQ-8,PHQ189_pooled,primary,CrossAI_Joint-B,3.51957671957672,0.2656084656084658,0.1306878306878306,0.4095238095238094,0.0001999800019998,0.1989858906525573,0.2487575475670713,1.0,1.0
PHQ-8,PHQ189_pooled,primary,CrossAI_Conservative-C,3.547089947089946,0.2931216931216922,0.1703703703703704,0.4169444444444444,9.999000099990002e-05,0.1932539682539682,0.2154974919260633,1.0,1.0
HAMD-17,HAMD16_core,primary,C03_GLM-5.2,3.515151515151515,0.0,,,,0.1521464646464646,0.5286653862411438,1.0,1.0
HAMD-17,HAMD16_core,primary,C03_Kimi-K2.6,4.101010101010101,0.5858585858585861,,,,0.1538825757575757,0.4304235046659289,1.0,1.0
HAMD-17,HAMD16_core,primary,C03_Qwen3.7-Max,3.585858585858586,0.0707070707070709,,,,0.147885101010101,0.4974535928190117,1.0,1.0
HAMD-17,HAMD16_core,primary,WithinAI_GLM-5.2_A,3.392929292929293,-0.1222222222222222,,,,0.1581281565656565,0.5618945119503334,1.0,1.0
HAMD-17,HAMD16_core,primary,WithinAI_Kimi-K2.6_A,3.597979797979798,0.0828282828282827,,,,0.1772253787878787,0.5639302508272394,1.0,1.0
HAMD-17,HAMD16_core,primary,WithinAI_Qwen3.7-Max_A,3.4323232323232324,-0.0828282828282827,,,,0.1660511363636363,0.5580744094938673,1.0,1.0
HAMD-17,HAMD16_core,primary,WithinAI_GLM-5.2_B,3.2979797979797976,-0.2171717171717175,,,,0.1566603535353535,0.5663192522175541,1.0,1.0
HAMD-17,HAMD16_core,primary,WithinAI_Kimi-K2.6_B,3.926262626262626,0.411111111111111,,,,0.1601957070707071,0.4856288878481391,1.0,1.0
HAMD-17,HAMD16_core,primary,WithinAI_Qwen3.7-Max_B,3.373737373737374,-0.141414141414141,,,,0.1596590909090909,0.56268671827941,1.0,1.0
HAMD-17,HAMD16_core,primary,CrossAI_C03,3.4353535353535354,-0.0797979797979797,-0.4475505050505051,0.2728282828282823,0.6592340765923408,0.1494002525252525,0.5225049013507124,1.0,1.0
HAMD-17,HAMD16_core,primary,CrossAI_Joint-A,3.4818181818181824,-0.0333333333333327,-0.4687121212121211,0.4152020202020199,0.8841115888411158,0.1646938131313131,0.5450757477608027,1.0,1.0
HAMD-17,HAMD16_core,primary,CrossAI_Joint-B,3.416161616161616,-0.0989898989898994,-0.4930050505050505,0.3091161616161614,0.6314368563143685,0.156060606060606,0.5446475535423841,1.0,1.0
HAMD-17,HAMD16_core,primary,CrossAI_Conservative-C,3.372727272727273,-0.1424242424242421,-0.5292929292929294,0.2334848484848476,0.4644535546445356,0.1517518939393939,0.5337362201200272,1.0,1.0
HAMD-17,HAMD17_available,sensitivity,C03_GLM-5.2,3.616161616161616,0.0,,,,0.1536690433749257,0.5317435090162362,0.9774212715389188,0.6161616161616161
HAMD-17,HAMD17_available,sensitivity,C03_Kimi-K2.6,4.202020202020202,0.5858585858585865,,,,0.1558972073677956,0.4379367546034212,0.9786096256684492,0.6363636363636364
HAMD-17,HAMD17_available,sensitivity,C03_Qwen3.7-Max,3.676767676767677,0.0606060606060609,,,,0.1491662953060012,0.5017487365080948,0.9750445632798574,0.5757575757575758
HAMD-17,HAMD17_available,sensitivity,WithinAI_GLM-5.2_A,3.496969696969697,-0.1191919191919188,,,,0.1608205213903743,0.5656256129942685,0.9783125371360666,0.6313131313131313
HAMD-17,HAMD17_available,sensitivity,WithinAI_Kimi-K2.6_A,3.7010101010101017,0.0848484848484858,,,,0.1789224970291147,0.566126072105057,0.9756981580510992,0.5868686868686868
HAMD-17,HAMD17_available,sensitivity,WithinAI_Qwen3.7-Max_A,3.508080808080808,-0.1080808080808077,,,,0.1660232843137255,0.5604947108535625,0.9786096256684492,0.6363636363636364
HAMD-17,HAMD17_available,sensitivity,WithinAI_GLM-5.2_B,3.436363636363636,-0.1797979797979798,,,,0.1578895573380867,0.5636825468090126,0.9788472964943552,0.6404040404040404
HAMD-17,HAMD17_available,sensitivity,WithinAI_Kimi-K2.6_B,4.016161616161615,0.3999999999999994,,,,0.1620840760546643,0.493671527027142,0.9765894236482472,0.602020202020202
HAMD-17,HAMD17_available,sensitivity,WithinAI_Qwen3.7-Max_B,3.4848484848484853,-0.1313131313131306,,,,0.1604203802733214,0.5649709211696734,0.9799168152109328,0.6585858585858585
HAMD-17,HAMD17_available,sensitivity,CrossAI_C03,3.527272727272728,-0.0888888888888881,-0.4626515151515151,0.2616414141414139,0.6284371562843716,0.1508587715389186,0.5258438855987876,0.9754010695187164,0.5818181818181818
HAMD-17,HAMD17_available,sensitivity,CrossAI_Joint-A,3.5626262626262624,-0.0535353535353535,-0.4898989898989899,0.3829292929292924,0.8162183781621838,0.1670593805704099,0.5551310319827535,0.97825311942959,0.6303030303030304
HAMD-17,HAMD17_available,sensitivity,CrossAI_Joint-B,3.556565656565657,-0.0595959595959589,-0.4556313131313131,0.3505303030303027,0.7718228177182281,0.157229463755199,0.5418609587415292,0.9799762329174092,0.6595959595959597
HAMD-17,HAMD17_available,sensitivity,CrossAI_Conservative-C,3.503030303030304,-0.113131313131312,-0.503030303030303,0.2596212121212118,0.5596440355964404,0.1534193033273915,0.5323535511616007,0.9771836007130124,0.6121212121212122
HAMD-17,HAMD17_strict_complete,sensitivity,C03_GLM-5.2,3.360655737704918,0.0,,,,0.1407907425265188,0.5355988274021062,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,C03_Kimi-K2.6,3.6984126984126986,0.3377569607077806,,,,0.1398225957049486,0.4375251732394589,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,C03_Qwen3.7-Max,3.3859649122807016,0.0253091745757836,,,,0.131062951496388,0.4749253670306302,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,WithinAI_GLM-5.2_A,3.098632478632479,-0.2620232590724392,,,,0.1460708898944193,0.58266130763265,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,WithinAI_Kimi-K2.6_A,3.421344396344397,0.0606886586394788,,,,0.1655874218374218,0.5678115773830272,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,WithinAI_Qwen3.7-Max_A,3.3942708333333336,0.0336150956284155,,,,0.1441712622549019,0.5165638701576202,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,WithinAI_GLM-5.2_B,3.220739962651728,-0.1399157750531898,,,,0.1478408029878617,0.5648506621404751,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,WithinAI_Kimi-K2.6_B,3.6894219379294007,0.3287662002244826,,,,0.1521679069637805,0.5183763036694806,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,WithinAI_Qwen3.7-Max_B,3.4535364145658263,0.0928806768609082,,,,0.1438555569286538,0.5242155932600199,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,CrossAI_C03,3.4225806451612906,0.0619249074563725,-0.4246311475409837,0.4246311475409832,0.9495050494950504,0.1384250474383302,0.50554602207828,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,CrossAI_Joint-A,3.322245564892624,-0.038410172812294,-0.7632691798941802,0.1663518518518515,0.2181781821817817,0.1545809990662932,0.5579213605929292,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,CrossAI_Joint-B,3.3359693877551018,-0.0246863499498162,-0.6561999089253189,0.1764336130627111,0.3451654834516548,0.1443139755902361,0.5426958228697925,1.0,1.0
HAMD-17,HAMD17_strict_complete,sensitivity,CrossAI_Conservative-C,3.4890532879818585,0.1283975502769405,-0.502460154826958,0.2992577413479045,0.6031396860313969,0.1425892857142857,0.5154818781306876,1.0,1.0
