scale,model,condition,N,gold_unassessable_n,gold_assessable_n,valid_N,invalid_N,valid_rate_among_gold_assessable,invalid_rate_among_gold_assessable
HAMD-17,GLM-5.2,C03,99,7,92,61,31,0.6630434782608695,0.33695652173913043
HAMD-17,GLM-5.2,C04,99,7,92,62,30,0.6739130434782609,0.32608695652173914
HAMD-17,GLM-5.2,C07,99,7,92,63,29,0.6847826086956522,0.31521739130434784
HAMD-17,GLM-5.2,C08,99,7,92,63,29,0.6847826086956522,0.31521739130434784
HAMD-17,GLM-5.2,C11,99,7,92,63,29,0.6847826086956522,0.31521739130434784
HAMD-17,GLM-5.2,C12,99,7,92,64,28,0.6956521739130435,0.30434782608695654
HAMD-17,GLM-5.2,C15,99,7,92,66,26,0.717391304347826,0.2826086956521739
HAMD-17,GLM-5.2,C16,99,7,92,64,28,0.6956521739130435,0.30434782608695654
HAMD-17,Kimi-K2.6,C03,99,7,92,63,29,0.6847826086956522,0.31521739130434784
HAMD-17,Kimi-K2.6,C04,99,7,92,58,34,0.6304347826086957,0.3695652173913043
HAMD-17,Kimi-K2.6,C07,99,7,92,46,46,0.5,0.5
HAMD-17,Kimi-K2.6,C08,99,7,92,47,45,0.5108695652173914,0.4891304347826087
HAMD-17,Kimi-K2.6,C11,99,7,92,60,32,0.6521739130434783,0.34782608695652173
HAMD-17,Kimi-K2.6,C12,99,7,92,59,33,0.6413043478260869,0.358695652173913
HAMD-17,Kimi-K2.6,C15,99,7,92,65,27,0.7065217391304348,0.29347826086956524
HAMD-17,Kimi-K2.6,C16,99,7,92,64,28,0.6956521739130435,0.30434782608695654
HAMD-17,Qwen3.7-Max,C03,99,7,92,57,35,0.6195652173913043,0.3804347826086957
HAMD-17,Qwen3.7-Max,C04,99,7,92,59,33,0.6413043478260869,0.358695652173913
HAMD-17,Qwen3.7-Max,C07,99,7,92,63,29,0.6847826086956522,0.31521739130434784
HAMD-17,Qwen3.7-Max,C08,99,7,92,66,26,0.717391304347826,0.2826086956521739
HAMD-17,Qwen3.7-Max,C11,99,7,92,59,33,0.6413043478260869,0.358695652173913
HAMD-17,Qwen3.7-Max,C12,99,7,92,57,35,0.6195652173913043,0.3804347826086957
HAMD-17,Qwen3.7-Max,C15,99,7,92,68,24,0.7391304347826086,0.2608695652173913
HAMD-17,Qwen3.7-Max,C16,99,7,92,66,26,0.717391304347826,0.2826086956521739
