scale,model,analysis_subset,method,subject_repeat_n,complete_n,coverage,total_MAE,total_RMSE,item_MAE,item_NAE,sum_item_AE,cancellation_amount,cancellation_ratio,signed_error,over_rate,under_rate,delta_total_MAE_vs_C03,delta_total_MAE_CI_low,delta_total_MAE_CI_high,delta_total_MAE_p,delta_total_MAE_q
HAMD-17,GLM-5.2,hamd99,B,990,990,1.0,3.297979797979798,4.478342947514801,0.47342171717171716,0.1559659090909091,7.574747474747475,4.276767676767677,0.5593470657118748,0.07373737373737374,0.18851010101010102,0.1970959595959596,-0.2171717171717172,-0.6111363636363637,0.19598484848484826,0.31626837316268375,0.5271139552711396
HAMD-17,GLM-5.2,hamd99,C03,990,990,1.0,3.515151515151515,4.554939598663713,0.4684343434343434,0.15214646464646464,7.494949494949495,3.9797979797979797,0.5286653862411438,-1.0909090909090908,0.16224747474747475,0.22474747474747475,0.0,0.0,0.0,1.0,
HAMD-17,GLM-5.2,hamd99,ElasticNet,990,990,1.0,3.4414141414141413,4.424107511434061,0.4460227272727273,0.14750631313131313,7.136363636363637,3.694949494949495,0.5230239938974341,-0.8191919191919191,0.17777777777777778,0.21641414141414142,-0.07373737373737364,-0.4484848484848483,0.321262626262626,0.7253274672532747,0.7253274672532747
HAMD-17,GLM-5.2,hamd99,Mean,990,990,1.0,3.191919191919192,4.350780726409104,0.4457070707070707,0.14646464646464646,7.1313131313131315,3.9393939393939394,0.5465285275891337,0.24242424242424243,0.18876262626262627,0.18434343434343434,-0.32323232323232326,-0.7272727272727273,0.11136363636363499,0.1506849315068493,0.37671232876712324
HAMD-17,GLM-5.2,hamd99,Median,990,990,1.0,3.1616161616161618,4.393521401225935,0.442550505050505,0.14567550505050506,7.08080808080808,3.919191919191919,0.556918576137077,0.050505050505050504,0.1755050505050505,0.18686868686868688,-0.35353535353535354,-0.7777777777777778,0.12121212121212122,0.1284871512848715,0.37671232876712324
HAMD-17,GLM-5.2,hamd99,Ridge,990,990,1.0,3.403030303030303,4.383278603184072,0.4450126262626263,0.14693813131313133,7.12020202020202,3.717171717171717,0.5268888640902901,-0.6676767676767676,0.18156565656565657,0.21275252525252525,-0.11212121212121212,-0.5192171717171719,0.2919696969696967,0.6049395060493951,0.7253274672532747
HAMD-17,Kimi-K2.6,hamd99,B,990,990,1.0,3.9696969696969697,5.066228051190222,0.49255050505050507,0.1619949494949495,7.880808080808081,3.911111111111111,0.47805748420721683,-2.2707070707070707,0.1361111111111111,0.2611742424242424,-0.13131313131313133,-0.4788131313131313,0.23638888888888882,0.46595340465953405,0.46595340465953405
HAMD-17,Kimi-K2.6,hamd99,C03,990,990,1.0,4.101010101010101,5.285772785449062,0.4696969696969697,0.15388257575757575,7.515151515151516,3.414141414141414,0.43042350466592894,-2.98989898989899,0.11237373737373738,0.2657828282828283,0.0,0.0,0.0,1.0,
HAMD-17,Kimi-K2.6,hamd99,ElasticNet,990,990,1.0,3.6787878787878787,4.532932246071493,0.488510101010101,0.16074810606060605,7.816161616161616,4.137373737373737,0.5275635950502261,-1.1292929292929292,0.1908459595959596,0.24002525252525253,-0.42222222222222233,-0.8728030303030304,0.023257575757575647,0.07229277072292771,0.18073192680731928
HAMD-17,Kimi-K2.6,hamd99,Mean,990,990,1.0,3.717171717171717,4.788454127303814,0.4696969696969697,0.15293560606060605,7.515151515151516,3.797979797979798,0.4885709128133371,-1.878787878787879,0.1433080808080808,0.24684343434343434,-0.3838383838383838,-0.8285353535353536,0.08080808080808081,0.1141885811418858,0.19031430190314302
HAMD-17,Kimi-K2.6,hamd99,Median,990,990,1.0,3.8484848484848486,4.987864059774272,0.4753787878787879,0.15467171717171718,7.606060606060606,3.757575757575758,0.4673342700080668,-1.9696969696969697,0.13573232323232323,0.2474747474747475,-0.25252525252525254,-0.7373737373737373,0.25252525252525254,0.3481651834816518,0.4352064793520648
HAMD-17,Kimi-K2.6,hamd99,Ridge,990,990,1.0,3.6161616161616164,4.4599225431512926,0.48724747474747476,0.16095328282828283,7.795959595959596,4.179797979797979,0.5337956628108143,-0.9191919191919192,0.19627525252525252,0.23446969696969697,-0.4848484848484849,-0.9515656565656567,-0.006944444444445222,0.04789521047895211,0.18073192680731928
HAMD-17,Qwen3.7-Max,hamd99,B,990,990,1.0,3.3282828282828283,4.535716842212185,0.4889520202020202,0.15705492424242423,7.8232323232323235,4.494949494949495,0.565779329602859,-0.8454545454545455,0.16571969696969696,0.2222222222222222,-0.2575757575757576,-0.5596464646464647,0.04249999999999954,0.097990200979902,0.48995100489951005
HAMD-17,Qwen3.7-Max,hamd99,C03,990,990,1.0,3.585858585858586,4.753520757918239,0.46275252525252525,0.14788510101010102,7.404040404040404,3.8181818181818183,0.4974535928190117,-1.8484848484848484,0.13636363636363635,0.2361111111111111,0.0,0.0,0.0,1.0,
HAMD-17,Qwen3.7-Max,hamd99,ElasticNet,990,990,1.0,3.6161616161616164,4.533823502911814,0.4717171717171717,0.15569760101010102,7.547474747474747,3.9313131313131313,0.5209719349113288,-0.9717171717171718,0.18611111111111112,0.2297348484848485,0.030303030303030158,-0.3848484848484849,0.4414898989898985,0.8939106089391061,1.0
HAMD-17,Qwen3.7-Max,hamd99,Mean,990,990,1.0,3.4444444444444446,4.665584290062368,0.4703282828282828,0.15214646464646464,7.525252525252525,4.08080808080808,0.5261071139859018,-0.43434343434343436,0.1736111111111111,0.2077020202020202,-0.1414141414141414,-0.5151515151515151,0.2222222222222222,0.49525047495250474,1.0
