analysis_subset,c03_total_MAE,cancellation_ratio,cancellation_ratio_median,complete_subject_coverage,complete_subject_n,coverage,coverage_IQR,coverage_median,delta_total_MAE_IQR,delta_total_MAE_median,delta_total_MAE_vs_C03,fold,fold_improved_vs_C03,folds_improved_n,folds_total_n,item_MAE,item_NAE,item_NAE_IQR,item_NAE_median,level,method,model,proportion_folds_improved,repeat,scale,subject_n,total_MAE,total_MAE_IQR,total_MAE_max,total_MAE_median,total_MAE_min,total_RMSE
hamd99,3.0,0.5737734487734487,,1.0,20,1.0,,,,,-0.10000000000000009,0.0,1.0,,,0.45625,0.15,,,outer_fold,B,GLM-5.2,,0.0,HAMD-17,20,2.9,,,,,3.7815340802378077
hamd99,3.0,0.5978074703074703,,1.0,20,1.0,,,,,0.0,0.0,,,,0.475,0.15546875,,,outer_fold,C03,GLM-5.2,,0.0,HAMD-17,20,3.0,,,,,3.8078865529319543
hamd99,3.0,0.5611263736263735,,1.0,20,1.0,,,,,-0.2999999999999998,0.0,1.0,,,0.425,0.1390625,,,outer_fold,ElasticNet,GLM-5.2,,0.0,HAMD-17,20,2.7,,,,,3.5496478698597698
hamd99,3.0,0.6270634920634921,,1.0,20,1.0,,,,,-0.6000000000000001,0.0,1.0,,,0.43125,0.14140625,,,outer_fold,Mean,GLM-5.2,,0.0,HAMD-17,20,2.4,,,,,3.3166247903554
hamd99,3.0,0.6608694083694083,,1.0,20,1.0,,,,,-0.6000000000000001,0.0,1.0,,,0.43125,0.14375,,,outer_fold,Median,GLM-5.2,,0.0,HAMD-17,20,2.4,,,,,3.391164991562634
hamd99,3.0,0.6287301587301587,,1.0,20,1.0,,,,,-0.1499999999999999,0.0,1.0,,,0.440625,0.1453125,,,outer_fold,Ridge,GLM-5.2,,0.0,HAMD-17,20,2.85,,,,,3.7483329627982624
hamd99,2.8,0.5641053391053392,,1.0,20,1.0,,,,,-0.19999999999999973,1.0,1.0,,,0.43125,0.14609375,,,outer_fold,B,GLM-5.2,,0.0,HAMD-17,20,2.6,,,,,3.5071355833500366
hamd99,2.8,0.62010101010101,,1.0,20,1.0,,,,,0.0,1.0,,,,0.45625,0.15390625,,,outer_fold,C03,GLM-5.2,,0.0,HAMD-17,20,2.8,,,,,4.06201920231798
hamd99,2.8,0.4771320346320346,,1.0,20,1.0,,,,,1.0,1.0,0.0,,,0.45625,0.15078125,,,outer_fold,ElasticNet,GLM-5.2,,0.0,HAMD-17,20,3.8,,,,,4.505552130427524
hamd99,2.8,0.5623268398268398,,1.0,20,1.0,,,,,0.0,1.0,0.0,,,0.41875,0.140625,,,outer_fold,Mean,GLM-5.2,,0.0,HAMD-17,20,2.8,,,,,3.449637662132068
hamd99,2.8,0.559325396825397,,1.0,20,1.0,,,,,-0.04999999999999982,1.0,1.0,,,0.409375,0.13671875,,,outer_fold,Median,GLM-5.2,,0.0,HAMD-17,20,2.75,,,,,3.3241540277189325
hamd99,2.8,0.5227128427128427,,1.0,20,1.0,,,,,0.6500000000000004,1.0,0.0,,,0.446875,0.14921875,,,outer_fold,Ridge,GLM-5.2,,0.0,HAMD-17,20,3.45,,,,,4.165333119931706
hamd99,2.75,0.6339957264957266,,1.0,20,1.0,,,,,-0.3999999999999999,2.0,1.0,,,0.440625,0.14921875,,,outer_fold,B,GLM-5.2,,0.0,HAMD-17,20,2.35,,,,,3.2015621187164243
hamd99,2.75,0.5181152181152181,,1.0,20,1.0,,,,,0.0,2.0,,,,0.409375,0.13671875,,,outer_fold,C03,GLM-5.2,,0.0,HAMD-17,20,2.75,,,,,3.0903074280724887
hamd99,2.75,0.5861904761904762,,1.0,20,1.0,,,,,-0.7000000000000002,2.0,1.0,,,0.378125,0.12890625,,,outer_fold,ElasticNet,GLM-5.2,,0.0,HAMD-17,20,2.05,,,,,2.7294688127912363
hamd99,2.75,0.6211935286935287,,1.0,20,1.0,,,,,-0.5,2.0,1.0,,,0.428125,0.1421875,,,outer_fold,Mean,GLM-5.2,,0.0,HAMD-17,20,2.25,,,,,2.8548204847240397
hamd99,2.75,0.6020707070707071,,1.0,20,1.0,,,,,-0.3999999999999999,2.0,1.0,,,0.415625,0.13984375,,,outer_fold,Median,GLM-5.2,,0.0,HAMD-17,20,2.35,,,,,2.8896366553599777
hamd99,2.75,0.5430555555555556,,1.0,20,1.0,,,,,-0.3999999999999999,2.0,1.0,,,0.384375,0.13359375,,,outer_fold,Ridge,GLM-5.2,,0.0,HAMD-17,20,2.35,,,,,2.819574435974337
hamd99,4.3,0.433030303030303,,1.0,20,1.0,,,,,0.8500000000000005,3.0,0.0,,,0.565625,0.17578125,,,outer_fold,B,GLM-5.2,,0.0,HAMD-17,20,5.15,,,,,6.5
hamd99,4.3,0.48467948717948717,,1.0,20,1.0,,,,,0.0,3.0,,,,0.525,0.15859375,,,outer_fold,C03,GLM-5.2,,0.0,HAMD-17,20,4.3,,,,,5.253570214625479
hamd99,4.3,0.4291341991341991,,1.0,20,1.0,,,,,0.5499999999999998,3.0,0.0,,,0.515625,0.1625,,,outer_fold,ElasticNet,GLM-5.2,,0.0,HAMD-17,20,4.85,,,,,6.029096117993144
hamd99,4.3,0.45016774891774897,,1.0,20,1.0,,,,,0.15000000000000036,3.0,0.0,,,0.509375,0.15703125,,,outer_fold,Mean,GLM-5.2,,0.0,HAMD-17,20,4.45,,,,,5.995831885568507
hamd99,4.3,0.4766304017619807,,1.0,20,1.0,,,,,0.04999999999999982,3.0,0.0,,,0.509375,0.1578125,,,outer_fold,Median,GLM-5.2,,0.0,HAMD-17,20,4.35,,,,,6.2088646305101545
hamd99,4.3,0.44947802197802195,,1.0,20,1.0,,,,,0.2999999999999998,3.0,0.0,,,0.5125,0.16328125,,,outer_fold,Ridge,GLM-5.2,,0.0,HAMD-17,20,4.6,,,,,5.779273310719955
hamd99,4.7894736842105265,0.549688323372534,,1.0,19,1.0,,,,,-0.8421052631578951,4.0,1.0,,,0.5230263157894737,0.18092105263157895,,,outer_fold,B,GLM-5.2,,0.0,HAMD-17,19,3.9473684210526314,,,,,5.365582324800406
hamd99,4.7894736842105265,0.4170426065162907,,1.0,19,1.0,,,,,0.0,4.0,,,,0.4769736842105263,0.15625,,,outer_fold,C03,GLM-5.2,,0.0,HAMD-17,19,4.7894736842105265,,,,,6.030623603959343
hamd99,4.7894736842105265,0.553869522290575,,1.0,19,1.0,,,,,-1.210526315789474,4.0,1.0,,,0.46710526315789475,0.15953947368421054,,,outer_fold,ElasticNet,GLM-5.2,,0.0,HAMD-17,19,3.5789473684210527,,,,,4.622598950009786
hamd99,4.7894736842105265,0.4679627390153705,,1.0,19,1.0,,,,,-0.6842105263157894,4.0,1.0,,,0.4407894736842105,0.1513157894736842,,,outer_fold,Mean,GLM-5.2,,0.0,HAMD-17,19,4.105263157894737,,,,,5.301439725008174
hamd99,4.7894736842105265,0.4819484608958294,,1.0,19,1.0,,,,,-0.7894736842105265,4.0,1.0,,,0.4473684210526316,0.15049342105263158,,,outer_fold,Median,GLM-5.2,,0.0,HAMD-17,19,4.0,,,,,5.241534528220368
hamd99,4.7894736842105265,0.5314118629908103,,1.0,19,1.0,,,,,-1.1052631578947372,4.0,1.0,,,0.4605263157894737,0.15789473684210525,,,outer_fold,Ridge,GLM-5.2,,0.0,HAMD-17,19,3.6842105263157894,,,,,4.768316485434157
hamd99,3.6,0.4952308802308802,,1.0,20,1.0,,,,,0.04999999999999982,0.0,0.0,,,0.459375,0.15625,,,outer_fold,B,GLM-5.2,,1.0,HAMD-17,20,3.65,,,,,4.780167361086848
hamd99,3.6,0.5565512265512266,,1.0,20,1.0,,,,,0.0,0.0,,,,0.48125,0.159375,,,outer_fold,C03,GLM-5.2,,1.0,HAMD-17,20,3.6,,,,,5.0
hamd99,3.6,0.4684163059163059,,1.0,20,1.0,,,,,-0.10000000000000009,0.0,1.0,,,0.40625,0.1359375,,,outer_fold,ElasticNet,GLM-5.2,,1.0,HAMD-17,20,3.5,,,,,4.69041575982343
hamd99,3.6,0.531031746031746,,1.0,20,1.0,,,,,-0.25,0.0,1.0,,,0.415625,0.1359375,,,outer_fold,Mean,GLM-5.2,,1.0,HAMD-17,20,3.35,,,,,4.674398357008098
hamd99,3.6,0.5436291486291488,,1.0,20,1.0,,,,,-0.3999999999999999,0.0,1.0,,,0.425,0.13984375,,,outer_fold,Median,GLM-5.2,,1.0,HAMD-17,20,3.2,,,,,4.404543109109048
hamd99,3.6,0.4889718614718615,,1.0,20,1.0,,,,,-0.1499999999999999,0.0,1.0,,,0.403125,0.13515625,,,outer_fold,Ridge,GLM-5.2,,1.0,HAMD-17,20,3.45,,,,,4.631414470763764
hamd99,2.9,0.587864357864358,,1.0,20,1.0,,,,,-0.10000000000000009,1.0,1.0,,,0.50625,0.1703125,,,outer_fold,B,GLM-5.2,,1.0,HAMD-17,20,2.8,,,,,3.420526275297414
hamd99,2.9,0.5610453435453435,,1.0,20,1.0,,,,,0.0,1.0,,,,0.4875,0.1609375,,,outer_fold,C03,GLM-5.2,,1.0,HAMD-17,20,2.9,,,,,3.391164991562634
hamd99,2.9,0.5525793650793652,,1.0,20,1.0,,,,,0.4500000000000002,1.0,0.0,,,0.471875,0.15859375,,,outer_fold,ElasticNet,GLM-5.2,,1.0,HAMD-17,20,3.35,,,,,3.905124837953327
hamd99,2.9,0.6034090909090909,,1.0,20,1.0,,,,,-0.3999999999999999,1.0,1.0,,,0.475,0.1578125,,,outer_fold,Mean,GLM-5.2,,1.0,HAMD-17,20,2.5,,,,,3.478505426185217
hamd99,2.9,0.572478354978355,,1.0,20,1.0,,,,,-0.25,1.0,1.0,,,0.459375,0.15390625,,,outer_fold,Median,GLM-5.2,,1.0,HAMD-17,20,2.65,,,,,3.5142566781611158
hamd99,2.9,0.5203787878787879,,1.0,20,1.0,,,,,0.1499999999999999,1.0,0.0,,,0.459375,0.153125,,,outer_fold,Ridge,GLM-5.2,,1.0,HAMD-17,20,3.05,,,,,3.5142566781611158
hamd99,3.85,0.6212148962148961,,1.0,20,1.0,,,,,-0.75,2.0,1.0,,,0.475,0.15390625,,,outer_fold,B,GLM-5.2,,1.0,HAMD-17,20,3.1,,,,,4.024922359499621
hamd99,3.85,0.5128174603174603,,1.0,20,1.0,,,,,0.0,2.0,,,,0.465625,0.1484375,,,outer_fold,C03,GLM-5.2,,1.0,HAMD-17,20,3.85,,,,,5.004997502496879
hamd99,3.85,0.4881890331890332,,1.0,20,1.0,,,,,-0.1499999999999999,2.0,1.0,,,0.45,0.14453125,,,outer_fold,ElasticNet,GLM-5.2,,1.0,HAMD-17,20,3.7,,,,,4.571651780264984
hamd99,3.85,0.4846151071151071,,1.0,20,1.0,,,,,0.1499999999999999,2.0,0.0,,,0.4625,0.15078125,,,outer_fold,Mean,GLM-5.2,,1.0,HAMD-17,20,4.0,,,,,4.857983120596447
hamd99,3.85,0.5473423798423798,,1.0,20,1.0,,,,,-0.20000000000000018,2.0,1.0,,,0.459375,0.14765625,,,outer_fold,Median,GLM-5.2,,1.0,HAMD-17,20,3.65,,,,,4.706378650300037
hamd99,3.85,0.4734920634920635,,1.0,20,1.0,,,,,-0.1499999999999999,2.0,1.0,,,0.45,0.14609375,,,outer_fold,Ridge,GLM-5.2,,1.0,HAMD-17,20,3.7,,,,,4.505552130427524
hamd99,3.6,0.4843362193362194,,1.0,20,1.0,,,,,-0.30000000000000027,3.0,1.0,,,0.45,0.14375,,,outer_fold,B,GLM-5.2,,1.0,HAMD-17,20,3.3,,,,,4.301162633521313
hamd99,3.6,0.49608058608058603,,1.0,20,1.0,,,,,0.0,3.0,,,,0.45,0.14296875,,,outer_fold,C03,GLM-5.2,,1.0,HAMD-17,20,3.6,,,,,4.69041575982343
hamd99,3.6,0.4956096681096681,,1.0,20,1.0,,,,,0.1499999999999999,3.0,0.0,,,0.459375,0.1515625,,,outer_fold,ElasticNet,GLM-5.2,,1.0,HAMD-17,20,3.75,,,,,4.780167361086848
