scale,model,analysis_subset,item_id,item_name,method,N,item_MAE,item_NAE,delta_item_MAE_vs_C03,delta_item_MAE_CI_low,delta_item_MAE_CI_high,delta_item_MAE_p,mean_signed_error,exact_agreement,delta_item_MAE_q
PHQ-8,DeepSeek-V4-Pro,primary142,1,兴趣或愉悦感降低,B,1420,0.5873239436619718,0.19577464788732393,-0.025352112676056335,-0.08875000000000001,0.03309859154929578,0.42325767423257676,-0.37183098591549296,0.5352112676056338,0.5643435656434357
PHQ-8,DeepSeek-V4-Pro,primary142,1,兴趣或愉悦感降低,C03,1420,0.6126760563380281,0.20422535211267603,0.0,0.0,0.0,1.0,-0.4859154929577465,0.5352112676056338,
PHQ-8,DeepSeek-V4-Pro,primary142,1,兴趣或愉悦感降低,ElasticNet,1420,0.46619718309859154,0.15539906103286386,-0.14647887323943662,-0.2514260563380281,-0.04366197183098591,0.006099390060993901,-0.1295774647887324,0.5908450704225352,0.048795120487951205
PHQ-8,DeepSeek-V4-Pro,primary142,1,兴趣或愉悦感降低,Mean,1420,0.5070422535211268,0.16901408450704225,-0.1056338028169014,-0.19718309859154928,-0.014084507042253521,0.0357964203579642,-0.2112676056338028,0.5774647887323944,0.2863713628637136
PHQ-8,DeepSeek-V4-Pro,primary142,1,兴趣或愉悦感降低,Median,1420,0.5774647887323944,0.19248826291079812,-0.035211267605633804,-0.11971830985915492,0.04929577464788732,0.5043495650434956,-0.29577464788732394,0.5492957746478874,0.6746753896038967
PHQ-8,DeepSeek-V4-Pro,primary142,1,兴趣或愉悦感降低,Ridge,1420,0.47676056338028167,0.15892018779342723,-0.13591549295774646,-0.2429929577464789,-0.029559859154929667,0.0136986301369863,-0.12323943661971831,0.5809859154929577,0.08665800086658
PHQ-8,DeepSeek-V4-Pro,primary142,2,情绪低落、抑郁或无望,B,1420,0.5866197183098592,0.1955399061032864,0.04436619718309859,0.010563380281690139,0.0831161971830985,0.0187981201879812,-0.07253521126760563,0.5147887323943662,0.0751924807519248
PHQ-8,DeepSeek-V4-Pro,primary142,2,情绪低落、抑郁或无望,C03,1420,0.5422535211267606,0.18075117370892022,0.0,0.0,0.0,1.0,-0.11971830985915492,0.5492957746478874,
PHQ-8,DeepSeek-V4-Pro,primary142,2,情绪低落、抑郁或无望,ElasticNet,1420,0.49577464788732395,0.1652582159624413,-0.04647887323943662,-0.13663732394366196,0.04295774647887324,0.32586741325867413,-0.03380281690140845,0.5577464788732395,0.4014455697287414
PHQ-8,DeepSeek-V4-Pro,primary142,2,情绪低落、抑郁或无望,Mean,1420,0.5915492957746479,0.19718309859154928,0.04929577464788732,-0.04225352112676056,0.14084507042253522,0.38296170382961703,0.16901408450704225,0.5,0.6127387261273872
PHQ-8,DeepSeek-V4-Pro,primary142,2,情绪低落、抑郁或无望,Median,1420,0.6126760563380281,0.20422535211267603,0.07042253521126761,-0.02130281690140844,0.1619718309859155,0.17988201179882013,0.13380281690140844,0.4859154929577465,0.6746753896038967
PHQ-8,DeepSeek-V4-Pro,primary142,2,情绪低落、抑郁或无望,Ridge,1420,0.5084507042253521,0.16948356807511736,-0.033802816901408454,-0.12183098591549293,0.05211267605633802,0.46065393460653936,-0.03943661971830986,0.5514084507042254,0.5264616395503307
PHQ-8,DeepSeek-V4-Pro,primary142,3,睡眠问题,B,1420,0.5535211267605634,0.18450704225352113,0.01126760563380282,0.0028169014084507065,0.02112676056338028,0.012798720127987202,-0.10845070422535211,0.5746478873239437,0.0751924807519248
PHQ-8,DeepSeek-V4-Pro,primary142,3,睡眠问题,C03,1420,0.5422535211267606,0.18075117370892022,0.0,0.0,0.0,1.0,-0.11971830985915492,0.5845070422535211,
PHQ-8,DeepSeek-V4-Pro,primary142,3,睡眠问题,ElasticNet,1420,0.6133802816901408,0.2044600938967136,0.0711267605633803,-0.013397887323943668,0.1563556338028168,0.11858814118588142,-0.15845070422535212,0.47112676056338026,0.18974102589741026
PHQ-8,DeepSeek-V4-Pro,primary142,3,睡眠问题,Mean,1420,0.5704225352112676,0.19014084507042253,0.028169014084507043,-0.04929577464788732,0.1056338028169014,0.6006399360063993,0.07746478873239436,0.5492957746478874,0.783921607839216
PHQ-8,DeepSeek-V4-Pro,primary142,3,睡眠问题,Median,1420,0.5704225352112676,0.19014084507042253,0.028169014084507043,-0.04225352112676056,0.1056338028169014,0.5903409659034097,0.06338028169014084,0.5492957746478874,0.6746753896038967
PHQ-8,DeepSeek-V4-Pro,primary142,3,睡眠问题,Ridge,1420,0.6204225352112676,0.2068075117370892,0.07816901408450705,-0.008468309859154925,0.16690140845070425,0.09169083091690831,-0.14014084507042254,0.4612676056338028,0.18338166183381663
PHQ-8,DeepSeek-V4-Pro,primary142,4,疲劳或精力不足,B,1420,0.821830985915493,0.273943661971831,0.004929577464788737,-0.08241197183098592,0.08169014084507041,0.9016098390160984,-0.36126760563380284,0.38309859154929576,0.9016098390160984
PHQ-8,DeepSeek-V4-Pro,primary142,4,疲劳或精力不足,C03,1420,0.8169014084507042,0.27230046948356806,0.0,0.0,0.0,1.0,-0.6197183098591549,0.4014084507042254,
PHQ-8,DeepSeek-V4-Pro,primary142,4,疲劳或精力不足,ElasticNet,1420,0.6577464788732394,0.2192488262910798,-0.15915492957746477,-0.3105985915492958,-0.009119718309859352,0.039896010398960104,0.10704225352112676,0.3901408450704225,0.10638936106389361
PHQ-8,DeepSeek-V4-Pro,primary142,4,疲劳或精力不足,Mean,1420,0.7323943661971831,0.24413145539906103,-0.08450704225352113,-0.18309859154929578,0.007042253521126761,0.09629037096290372,-0.4084507042253521,0.43661971830985913,0.38516148385161486
PHQ-8,DeepSeek-V4-Pro,primary142,4,疲劳或精力不足,Median,1420,0.7746478873239436,0.25821596244131456,-0.04225352112676056,-0.13380281690140844,0.04225352112676056,0.42085791420857915,-0.43661971830985913,0.4084507042253521,0.6746753896038967
PHQ-8,DeepSeek-V4-Pro,primary142,4,疲劳或精力不足,Ridge,1420,0.647887323943662,0.215962441314554,-0.16901408450704225,-0.31551056338028166,-0.028169014084507053,0.0324967503249675,0.11549295774647887,0.4035211267605634,0.08665800086658
PHQ-8,DeepSeek-V4-Pro,primary142,5,食欲问题,B,1420,0.9105633802816901,0.30352112676056336,0.00915492957746479,-0.028169014084507043,0.050704225352112685,0.6516348365163483,-0.8457746478873239,0.4387323943661972,0.7447255274472553
PHQ-8,DeepSeek-V4-Pro,primary142,5,食欲问题,C03,1420,0.9014084507042254,0.3004694835680751,0.0,0.0,0.0,1.0,-0.8732394366197183,0.4507042253521127,
