analysis_subset,c03_total_MAE,cancellation_ratio,cancellation_ratio_median,complete_subject_coverage,complete_subject_n,coverage,coverage_IQR,coverage_median,delta_total_MAE_IQR,delta_total_MAE_median,delta_total_MAE_vs_C03,fold,fold_improved_vs_C03,folds_improved_n,folds_total_n,item_MAE,item_NAE,item_NAE_IQR,item_NAE_median,level,method,model,proportion_folds_improved,repeat,scale,subject_n,total_MAE,total_MAE_IQR,total_MAE_max,total_MAE_median,total_MAE_min,total_RMSE
primary142,4.241379310344827,0.1385057471264368,,1.0,29,1.0,,,,,-0.068965517241379,0.0,1.0,,,0.6163793103448276,0.2054597701149425,,,outer_fold,B,DeepSeek-V4-Pro,,0.0,PHQ-8,29,4.172413793103448,,,,,5.635478745382256
primary142,4.241379310344827,0.13984674329501914,,1.0,29,1.0,,,,,0.0,0.0,,,,0.6077586206896551,0.20258620689655177,,,outer_fold,C03,DeepSeek-V4-Pro,,0.0,PHQ-8,29,4.241379310344827,,,,,5.845717560154908
primary142,4.241379310344827,0.258128078817734,,1.0,29,1.0,,,,,-0.6551724137931032,0.0,1.0,,,0.6120689655172413,0.20402298850574707,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,0.0,PHQ-8,29,3.586206896551724,,,,,4.315169713368457
primary142,4.241379310344827,0.18702791461412152,,1.0,29,1.0,,,,,-0.2758620689655169,0.0,1.0,,,0.625,0.20833333333333334,,,outer_fold,Mean,DeepSeek-V4-Pro,,0.0,PHQ-8,29,3.9655172413793105,,,,,5.2882433039128705
primary142,4.241379310344827,0.17279693486590042,,1.0,29,1.0,,,,,-0.2413793103448274,0.0,1.0,,,0.6293103448275862,0.20977011494252876,,,outer_fold,Median,DeepSeek-V4-Pro,,0.0,PHQ-8,29,4.0,,,,,5.458305913768104
primary142,4.241379310344827,0.2512315270935961,,1.0,29,1.0,,,,,-0.6206896551724137,0.0,1.0,,,0.6077586206896551,0.20258620689655168,,,outer_fold,Ridge,DeepSeek-V4-Pro,,0.0,PHQ-8,29,3.6206896551724137,,,,,4.319163392810361
primary142,4.0,0.31880131362889985,,1.0,29,1.0,,,,,-0.4137931034482758,1.0,1.0,,,0.6724137931034483,0.22413793103448276,,,outer_fold,B,DeepSeek-V4-Pro,,0.0,PHQ-8,29,3.586206896551724,,,,,4.863658336457558
primary142,4.0,0.20720007961387274,,1.0,29,1.0,,,,,0.0,1.0,,,,0.6724137931034483,0.22413793103448276,,,outer_fold,C03,DeepSeek-V4-Pro,,0.0,PHQ-8,29,4.0,,,,,5.394761188028815
primary142,4.0,0.3049559635766533,,1.0,29,1.0,,,,,-0.2413793103448274,1.0,1.0,,,0.6853448275862069,0.22844827586206892,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,0.0,PHQ-8,29,3.7586206896551726,,,,,4.172983717131937
primary142,4.0,0.33333333333333326,,1.0,29,1.0,,,,,-0.5517241379310347,1.0,1.0,,,0.6637931034482759,0.22126436781609193,,,outer_fold,Mean,DeepSeek-V4-Pro,,0.0,PHQ-8,29,3.4482758620689653,,,,,4.402193810457189
primary142,4.0,0.357637955913818,,1.0,29,1.0,,,,,-0.4482758620689653,1.0,1.0,,,0.6939655172413793,0.23132183908045972,,,outer_fold,Median,DeepSeek-V4-Pro,,0.0,PHQ-8,29,3.5517241379310347,,,,,4.708759262598105
primary142,4.0,0.2727422003284073,,1.0,29,1.0,,,,,-0.06896551724137945,1.0,1.0,,,0.6810344827586207,0.22701149425287354,,,outer_fold,Ridge,DeepSeek-V4-Pro,,0.0,PHQ-8,29,3.9310344827586206,,,,,4.378631497751718
primary142,4.25,0.2813775510204082,,1.0,28,1.0,,,,,-0.3571428571428572,2.0,1.0,,,0.6919642857142857,0.23065476190476186,,,outer_fold,B,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.892857142857143,,,,,5.447804275905241
primary142,4.25,0.21777210884353743,,1.0,28,1.0,,,,,0.0,2.0,,,,0.6741071428571429,0.22470238095238093,,,outer_fold,C03,DeepSeek-V4-Pro,,0.0,PHQ-8,28,4.25,,,,,5.815619362667107
primary142,4.25,0.2645691609977324,,1.0,28,1.0,,,,,-0.75,2.0,1.0,,,0.5892857142857143,0.19642857142857142,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.5,,,,,4.28452364413395
primary142,4.25,0.3217360020931449,,1.0,28,1.0,,,,,-0.8214285714285716,2.0,1.0,,,0.6517857142857143,0.21726190476190474,,,outer_fold,Mean,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.4285714285714284,,,,,4.847679857416329
primary142,4.25,0.2916365380651095,,1.0,28,1.0,,,,,-0.6071428571428572,2.0,1.0,,,0.6607142857142857,0.2202380952380952,,,outer_fold,Median,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.642857142857143,,,,,4.9856938190329
primary142,4.25,0.2639455782312925,,1.0,28,1.0,,,,,-0.6785714285714284,2.0,1.0,,,0.5982142857142857,0.1994047619047619,,,outer_fold,Ridge,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.5714285714285716,,,,,4.334248987508019
primary142,4.5,0.19770408163265302,,1.0,28,1.0,,,,,-0.8928571428571428,3.0,1.0,,,0.59375,0.19791666666666666,,,outer_fold,B,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.607142857142857,,,,,4.762202371652367
primary142,4.5,0.07210884353741497,,1.0,28,1.0,,,,,0.0,3.0,,,,0.6071428571428571,0.20238095238095236,,,outer_fold,C03,DeepSeek-V4-Pro,,0.0,PHQ-8,28,4.5,,,,,5.94017796751194
primary142,4.5,0.28214285714285714,,1.0,28,1.0,,,,,-0.8214285714285716,3.0,1.0,,,0.6026785714285714,0.20089285714285715,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.6785714285714284,,,,,4.769696007084728
primary142,4.5,0.2195578231292517,,1.0,28,1.0,,,,,-1.0357142857142856,3.0,1.0,,,0.59375,0.19791666666666669,,,outer_fold,Mean,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.4642857142857144,,,,,4.5
primary142,4.5,0.22653061224489796,,1.0,28,1.0,,,,,-1.0,3.0,1.0,,,0.6160714285714286,0.20535714285714285,,,outer_fold,Median,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.5,,,,,4.652188425123938
primary142,4.5,0.29642857142857143,,1.0,28,1.0,,,,,-0.8928571428571428,3.0,1.0,,,0.6116071428571429,0.20386904761904762,,,outer_fold,Ridge,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.607142857142857,,,,,4.72455591261534
primary142,3.9285714285714284,0.16446608946608945,,1.0,28,1.0,,,,,0.07142857142857162,4.0,0.0,,,0.6160714285714286,0.20535714285714285,,,outer_fold,B,DeepSeek-V4-Pro,,0.0,PHQ-8,28,4.0,,,,,5.175491695067657
primary142,3.9285714285714284,0.16551484230055657,,1.0,28,1.0,,,,,0.0,4.0,,,,0.6160714285714286,0.20535714285714285,,,outer_fold,C03,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.9285714285714284,,,,,5.230405611149374
primary142,3.9285714285714284,0.31014739229024946,,1.0,28,1.0,,,,,-0.17857142857142838,4.0,1.0,,,0.6651785714285714,0.22172619047619047,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.75,,,,,4.806988959540354
