scale,model,strategy,paired_subject_n,delta_total_MAE,delta_total_MAE_CI_low,delta_total_MAE_CI_high,total_MAE_FDR_q,hedges_gz,hedges_gz_CI_low,hedges_gz_CI_high,delta_item_NAE,delta_sum_item_AE,coverage_noninferiority_pass,delta_cancellation_ratio,stability_acceptable,test47_replication_support,level1,level2,level3
HAMD-17,GLM-5.2,A,68,-0.2901960784313725,-0.7681495098039218,0.2299632352941173,0.3797620237976202,-0.1397317823962383,-0.3925517764559541,0.0916870221055599,0.0064730211937716,0.1911764705882352,True,0.0514314280490751,False,False,False,False,False
HAMD-17,GLM-5.2,B,68,-0.3295343137254902,-0.6933210784313724,0.0721200980392153,0.3521647835216478,-0.1913559191196997,-0.4256618335559058,0.038809507246615,0.0011418384755863,-0.0043709150326797,True,0.0332788614211624,False,False,False,False,False
HAMD-17,GLM-5.2,C,68,-0.1439542483660131,-0.4199346405228757,0.1095302287581696,0.760923907609239,-0.1241649584288963,-0.3571682054406481,0.1090194456299924,0.0008455281622452,0.0385620915032679,True,0.0127413315010633,False,False,False,False,False
HAMD-17,Kimi-K2.6,A,70,-0.6790192743764174,-1.1559647108843538,-0.2043847789115646,0.0072992700729927,-0.3265558137860608,-0.5838172097446427,-0.0911695876457802,0.0173528578097905,0.9818197278911568,False,0.1385412604990936,False,False,True,False,False
HAMD-17,Kimi-K2.6,B,69,-0.3070048309178744,-0.6634178743961352,0.088224637681159,0.1808819118088191,-0.1904001951456764,-0.4679839551139447,0.0443257920199182,0.0051039890593918,0.3198872785829307,False,0.0771097557521257,False,False,False,False,False
HAMD-17,Kimi-K2.6,C,70,-0.099954648526077,-0.2799892290249433,0.0921235827664399,0.2827717228277172,-0.1274856878556222,-0.3811764392888112,0.1075082013684172,0.002751517273576,0.1603628117913832,True,0.0345490091918663,False,False,False,False,False
HAMD-17,Qwen3.7-Max,A,64,-0.2581597222222223,-0.7858203125000001,0.2724782986111106,0.3398660133986601,-0.1184644546103906,-0.3740102411057825,0.1264816455124902,0.0182039547589869,0.8314236111111111,True,0.0633297167610893,False,False,False,False,False
HAMD-17,Qwen3.7-Max,B,64,-0.2470486111111111,-0.6142491319444443,0.1269270833333332,0.204979502049795,-0.1591201779037969,-0.4490423243844631,0.0729479929955665,0.0077545764399509,0.4015625,True,0.0622406415865361,False,False,False,False,False
HAMD-17,Qwen3.7-Max,C,64,-0.1897321428571428,-0.3462444196428572,-0.0319140624999999,0.0737926207379262,-0.2818517663155405,-0.5512983207024758,-0.0400365451476813,0.0014562270220588,0.0665178571428571,True,0.0318567283411033,True,False,False,False,False
PHQ-8,DeepSeek-V4-Pro,A,142,-0.9746478873239436,-1.3591549295774648,-0.6020774647887326,0.0002999700029997,-0.4334029801571776,-0.5832815548487518,-0.2847478746040796,0.0057511737089201,0.1380281690140845,True,0.1629601267277323,False,False,True,False,False
PHQ-8,DeepSeek-V4-Pro,B,142,-0.3866197183098592,-0.5986091549295776,-0.1886971830985917,0.0002999700029997,-0.3104560884636111,-0.4454066742511589,-0.1698476816246037,0.001144366197183,0.0274647887323943,True,0.0594510849088313,True,False,True,False,False
PHQ-8,DeepSeek-V4-Pro,C,142,-0.1767605633802817,-0.2838204225352112,-0.0760387323943663,0.0035996400359964,-0.2843852957449709,-0.429414881988119,-0.141022449698119,0.0010856807511737,0.026056338028169,True,0.0261582822498315,True,False,True,False,False
PHQ-8,GLM-5.2,A,142,-0.1598591549295774,-0.3436971830985916,0.0155633802816897,0.0918908109189081,-0.1445304341882524,-0.3119248390168225,0.0208752239197977,0.0137030516431924,0.3288732394366198,True,0.0685525390102854,False,False,False,False,False
PHQ-8,GLM-5.2,B,142,-0.0457746478873239,-0.1612676056338028,0.0598767605633801,0.4488551144885511,-0.0639864495242425,-0.23165714863112,0.091784727481755,0.0120598591549295,0.2894366197183098,True,0.046827988130805,False,False,False,False,False
PHQ-8,GLM-5.2,C,142,0.004225352112676,-0.0077464788732394,0.0161971830985915,0.5411458854114588,0.0551972659909033,-0.1086086094887036,0.2261183053176881,0.0012910798122065,0.0309859154929577,True,0.0023573257728187,True,False,False,False,False
PHQ-8,Qwen3.7-Max,A,142,-0.6725352112676056,-0.9760915492957744,-0.3823767605633804,0.0002999700029997,-0.3684108701488126,-0.5224491500079618,-0.2179361227991512,0.0031983568075117,0.0767605633802817,True,0.1061225277070347,False,False,True,False,False
PHQ-8,Qwen3.7-Max,B,142,-0.4429577464788732,-0.6571126760563382,-0.228169014084507,0.0002999700029997,-0.3437308440135933,-0.4935355306938109,-0.1947642050563794,-0.004900234741784,-0.1176056338028169,True,0.0501829782111472,False,True,True,True,False
PHQ-8,Qwen3.7-Max,C,142,-0.1830985915492957,-0.2753521126760563,-0.0922359154929578,0.0011998800119988,-0.3380721295020441,-0.5006166573127684,-0.1808519048089809,0.0013497652582159,0.0323943661971831,True,0.0303763099185634,False,False,True,False,False
