repeat,fold,heldout_subject_n,selected_MAE,C03_MAE,delta_MAE,delta_item_NAE,delta_cancellation_ratio,scale,analysis_layer,model,improved
0,0,20,3.75,4.4,-0.65,0.00625,0.1272774447774448,HAMD-17,HAMD16_core,GLM-5.2,True
0,1,20,3.1,3.65,-0.55,0.01171875,0.15163114663114663,HAMD-17,HAMD16_core,GLM-5.2,True
0,2,20,2.4,2.85,-0.45,-0.00546875,0.029759962259962264,HAMD-17,HAMD16_core,GLM-5.2,True
0,3,20,3.15,3.05,0.1,0.0109375,-0.005974025974025976,HAMD-17,HAMD16_core,GLM-5.2,False
0,4,19,3.736842105263158,3.6315789473684212,0.10526315789473684,-0.0024671052631578946,-0.09341126709547763,HAMD-17,HAMD16_core,GLM-5.2,False
1,0,20,3.4,4.05,-0.65,-0.003125,0.08808080808080807,HAMD-17,HAMD16_core,GLM-5.2,True
1,1,20,4.0,3.15,0.85,0.0140625,-0.03149211899211899,HAMD-17,HAMD16_core,GLM-5.2,False
1,2,20,2.95,2.9,0.05,0.0203125,-0.016269841269841268,HAMD-17,HAMD16_core,GLM-5.2,False
1,3,20,3.25,3.9,-0.65,-0.00625,0.03760850260850261,HAMD-17,HAMD16_core,GLM-5.2,True
1,4,19,3.5789473684210527,3.5789473684210527,0.0,0.015625,0.036236278341541514,HAMD-17,HAMD16_core,GLM-5.2,False
2,0,20,2.7,2.8,-0.1,-0.00234375,0.0306990231990232,HAMD-17,HAMD16_core,GLM-5.2,True
2,1,20,3.4,3.6,-0.2,-0.003125,0.03367105117105116,HAMD-17,HAMD16_core,GLM-5.2,True
2,2,20,3.3,3.75,-0.45,-0.00078125,-0.017770562770562767,HAMD-17,HAMD16_core,GLM-5.2,True
2,3,20,3.6,3.7,-0.1,0.00234375,0.028812576312576322,HAMD-17,HAMD16_core,GLM-5.2,True
2,4,19,3.473684210526316,3.736842105263158,-0.2631578947368421,0.008223684210526315,0.047296855191592026,HAMD-17,HAMD16_core,GLM-5.2,True
3,0,20,3.05,3.2,-0.15,0.00703125,0.049952269952269944,HAMD-17,HAMD16_core,GLM-5.2,True
3,1,20,4.4,3.75,0.65,0.015625,-0.0400580997949419,HAMD-17,HAMD16_core,GLM-5.2,False
3,2,20,2.5,3.05,-0.55,-0.0078125,0.009256576756576757,HAMD-17,HAMD16_core,GLM-5.2,True
3,3,20,3.4,3.75,-0.35,-0.00390625,0.046186868686868686,HAMD-17,HAMD16_core,GLM-5.2,True
3,4,19,3.5789473684210527,3.8421052631578947,-0.2631578947368421,-0.004111842105263158,-0.016053829211723946,HAMD-17,HAMD16_core,GLM-5.2,True
4,0,20,3.7,4.05,-0.35,0.00078125,0.06325757575757576,HAMD-17,HAMD16_core,GLM-5.2,True
4,1,20,3.0,3.4,-0.4,-0.01015625,-0.0207106782106782,HAMD-17,HAMD16_core,GLM-5.2,True
4,2,20,3.55,3.6,-0.05,0.00234375,-0.016285658785658803,HAMD-17,HAMD16_core,GLM-5.2,True
4,3,20,3.25,3.75,-0.5,0.00625,0.04036435786435787,HAMD-17,HAMD16_core,GLM-5.2,True
4,4,19,2.5789473684210527,2.736842105263158,-0.15789473684210525,0.012335526315789474,0.05329290592448488,HAMD-17,HAMD16_core,GLM-5.2,True
5,0,20,3.55,3.95,-0.4,-0.0015625,0.02117521367521369,HAMD-17,HAMD16_core,GLM-5.2,True
5,1,20,2.95,3.05,-0.1,-0.0046875,-0.029261294261294264,HAMD-17,HAMD16_core,GLM-5.2,True
5,2,20,2.85,3.15,-0.3,0.0078125,0.11441558441558441,HAMD-17,HAMD16_core,GLM-5.2,True
5,3,20,3.6,3.75,-0.15,0.003125,0.037043650793650795,HAMD-17,HAMD16_core,GLM-5.2,True
5,4,19,3.263157894736842,3.6842105263157894,-0.42105263157894735,-0.009046052631578948,-0.02349667875983666,HAMD-17,HAMD16_core,GLM-5.2,True
6,0,20,4.3,4.4,-0.1,0.0015625,0.049513346130993195,HAMD-17,HAMD16_core,GLM-5.2,True
6,1,20,2.8,3.1,-0.3,-0.00546875,0.009860139860139849,HAMD-17,HAMD16_core,GLM-5.2,True
6,2,20,2.95,3.35,-0.4,-0.00234375,0.014320401820401832,HAMD-17,HAMD16_core,GLM-5.2,True
6,3,20,3.35,3.1,0.25,0.01796875,-0.01583333333333333,HAMD-17,HAMD16_core,GLM-5.2,False
6,4,19,3.789473684210526,3.6315789473684212,0.15789473684210525,0.013157894736842105,0.028890407837776255,HAMD-17,HAMD16_core,GLM-5.2,False
7,0,20,3.45,3.25,0.2,-0.0046875,-0.06943038987156633,HAMD-17,HAMD16_core,GLM-5.2,False
7,1,20,3.9,3.6,0.3,0.00859375,0.013819513819513818,HAMD-17,HAMD16_core,GLM-5.2,False
7,2,20,3.9,4.4,-0.5,-0.00234375,0.030311494061494054,HAMD-17,HAMD16_core,GLM-5.2,True
7,3,20,3.1,3.05,0.05,0.0015625,-0.0356998556998557,HAMD-17,HAMD16_core,GLM-5.2,False
7,4,19,2.6842105263157894,3.263157894736842,-0.5789473684210527,-0.004111842105263158,0.05585350322192427,HAMD-17,HAMD16_core,GLM-5.2,True
8,0,20,3.8,3.45,0.35,0.009375,-0.05338911088911089,HAMD-17,HAMD16_core,GLM-5.2,False
8,1,20,3.65,4.25,-0.6,0.01015625,0.1036645299145299,HAMD-17,HAMD16_core,GLM-5.2,True
8,2,20,3.2,3.25,-0.05,-0.00078125,-0.018428238428238437,HAMD-17,HAMD16_core,GLM-5.2,True
8,3,20,2.5,3.6,-1.1,-0.00625,0.10659285159285159,HAMD-17,HAMD16_core,GLM-5.2,True
8,4,19,3.0526315789473686,3.0,0.05263157894736842,-0.008223684210526315,-0.04060909850383536,HAMD-17,HAMD16_core,GLM-5.2,False
9,0,20,3.15,3.6,-0.45,0.015625,0.07199938949938951,HAMD-17,HAMD16_core,GLM-5.2,True
9,1,20,3.55,3.55,0.0,0.01640625,0.046301721154662336,HAMD-17,HAMD16_core,GLM-5.2,False
9,2,20,3.6,3.6,0.0,0.0015625,-0.036798756798756785,HAMD-17,HAMD16_core,GLM-5.2,False
9,3,20,3.3,3.5,-0.2,0.0015625,0.025230047730047733,HAMD-17,HAMD16_core,GLM-5.2,True
9,4,19,3.1578947368421053,3.3157894736842106,-0.15789473684210525,-0.007401315789473684,0.01405202984150352,HAMD-17,HAMD16_core,GLM-5.2,True
0,0,20,4.2,4.45,-0.25,0.00703125,0.045064935064935065,HAMD-17,HAMD16_core,Kimi-K2.6,True
0,1,20,3.95,3.95,0.0,0.01171875,0.037918192918192914,HAMD-17,HAMD16_core,Kimi-K2.6,False
0,2,20,3.9,4.85,-0.95,0.00234375,0.1584074259074259,HAMD-17,HAMD16_core,Kimi-K2.6,True
0,3,20,3.7,2.95,0.75,0.028125,0.02077700077700078,HAMD-17,HAMD16_core,Kimi-K2.6,False
0,4,19,4.0,4.315789473684211,-0.3157894736842105,0.004111842105263158,0.016336003178108446,HAMD-17,HAMD16_core,Kimi-K2.6,True
1,0,20,4.7,4.05,0.65,0.01328125,-0.07715478965478965,HAMD-17,HAMD16_core,Kimi-K2.6,False
1,1,20,4.55,4.3,0.25,0.00859375,0.028069430569430565,HAMD-17,HAMD16_core,Kimi-K2.6,False
1,2,20,2.55,3.05,-0.5,0.003125,0.09932539682539683,HAMD-17,HAMD16_core,Kimi-K2.6,True
1,3,20,4.75,4.85,-0.1,-0.00078125,-0.0002741702741702712,HAMD-17,HAMD16_core,Kimi-K2.6,True
1,4,19,3.736842105263158,4.2631578947368425,-0.5263157894736842,0.013157894736842105,0.12112244480665534,HAMD-17,HAMD16_core,Kimi-K2.6,True
2,0,20,3.4,3.8,-0.4,0.0015625,0.10450910200910202,HAMD-17,HAMD16_core,Kimi-K2.6,True
2,1,20,4.25,4.25,0.0,0.0171875,0.0021622821622821558,HAMD-17,HAMD16_core,Kimi-K2.6,False
2,2,20,4.4,4.95,-0.55,-0.00078125,0.12035353535353535,HAMD-17,HAMD16_core,Kimi-K2.6,True
2,3,20,3.8,3.4,0.4,0.0171875,0.024812132312132314,HAMD-17,HAMD16_core,Kimi-K2.6,False
2,4,19,4.315789473684211,4.105263157894737,0.21052631578947367,0.005756578947368421,-0.00902255639097745,HAMD-17,HAMD16_core,Kimi-K2.6,False
3,0,20,3.95,4.3,-0.35,-0.003125,0.0525974025974026,HAMD-17,HAMD16_core,Kimi-K2.6,True
3,1,20,5.1,4.9,0.2,0.00078125,0.007201687201687193,HAMD-17,HAMD16_core,Kimi-K2.6,False
3,2,20,3.05,3.75,-0.7,0.0,0.13116272616272617,HAMD-17,HAMD16_core,Kimi-K2.6,True
3,3,20,3.5,3.4,0.1,0.025,0.013846986346986357,HAMD-17,HAMD16_core,Kimi-K2.6,False
3,4,19,3.8421052631578947,4.157894736842105,-0.3157894736842105,0.007401315789473684,0.040559732664995816,HAMD-17,HAMD16_core,Kimi-K2.6,True
4,0,20,4.4,4.35,0.05,-0.0109375,-0.060501443001443,HAMD-17,HAMD16_core,Kimi-K2.6,False
