repeat,fold,heldout_subject_n,selected_MAE,C03_MAE,delta_MAE,delta_item_NAE,delta_cancellation_ratio,scale,analysis_layer,model,improved
0,0,20,3.8,4.4,-0.6,0.0125,0.06850455100455101,HAMD-17,HAMD16_core,GLM-5.2,True
0,1,20,3.35,3.65,-0.3,0.0234375,0.10737373737373737,HAMD-17,HAMD16_core,GLM-5.2,True
0,2,20,3.1,2.85,0.25,0.00390625,0.011078921078921075,HAMD-17,HAMD16_core,GLM-5.2,False
0,3,20,3.35,3.05,0.3,0.01171875,0.03901653901653901,HAMD-17,HAMD16_core,GLM-5.2,False
0,4,19,3.4210526315789473,3.6315789473684212,-0.21052631578947367,0.005756578947368421,-0.001761980709349143,HAMD-17,HAMD16_core,GLM-5.2,True
1,0,20,4.0,4.05,-0.05,0.009375,0.051630591630591624,HAMD-17,HAMD16_core,GLM-5.2,True
1,1,20,4.1,3.15,0.95,0.01875,-0.07628996003996004,HAMD-17,HAMD16_core,GLM-5.2,False
1,2,20,2.55,2.9,-0.35,0.02265625,0.10065656565656564,HAMD-17,HAMD16_core,GLM-5.2,True
1,3,20,3.6,3.9,-0.3,0.0046875,-0.0026967476967476867,HAMD-17,HAMD16_core,GLM-5.2,True
1,4,19,2.8947368421052633,3.5789473684210527,-0.6842105263157895,0.013980263157894737,0.21488876620455566,HAMD-17,HAMD16_core,GLM-5.2,True
2,0,20,2.6,2.8,-0.2,0.0,0.07446886446886447,HAMD-17,HAMD16_core,GLM-5.2,True
2,1,20,2.9,3.6,-0.7,-0.0015625,0.10053751803751805,HAMD-17,HAMD16_core,GLM-5.2,True
2,2,20,3.0,3.75,-0.75,0.00703125,0.04177128427128428,HAMD-17,HAMD16_core,GLM-5.2,True
2,3,20,4.05,3.7,0.35,0.00703125,-0.013585858585858587,HAMD-17,HAMD16_core,GLM-5.2,False
2,4,19,4.052631578947368,3.736842105263158,0.3157894736842105,0.017269736842105265,-0.0031525492051807805,HAMD-17,HAMD16_core,GLM-5.2,False
3,0,20,2.9,3.2,-0.3,0.00703125,0.09623126873126872,HAMD-17,HAMD16_core,GLM-5.2,True
3,1,20,4.65,3.75,0.9,0.02421875,-0.023055833055833065,HAMD-17,HAMD16_core,GLM-5.2,False
3,2,20,2.2,3.05,-0.85,0.0015625,0.13231573981573982,HAMD-17,HAMD16_core,GLM-5.2,True
3,3,20,3.85,3.75,0.1,0.015625,0.02356782106782107,HAMD-17,HAMD16_core,GLM-5.2,False
3,4,19,3.0,3.8421052631578947,-0.8421052631578947,0.0008223684210526315,0.10991260201786517,HAMD-17,HAMD16_core,GLM-5.2,True
4,0,20,4.1,4.05,0.05,-0.00078125,0.01610750360750362,HAMD-17,HAMD16_core,GLM-5.2,False
4,1,20,2.85,3.4,-0.55,-0.00078125,0.03516233766233766,HAMD-17,HAMD16_core,GLM-5.2,True
4,2,20,4.55,3.6,0.95,0.0109375,-0.10322372072372074,HAMD-17,HAMD16_core,GLM-5.2,False
4,3,20,3.05,3.75,-0.7,-0.0046875,0.08531746031746032,HAMD-17,HAMD16_core,GLM-5.2,True
4,4,19,2.473684210526316,2.736842105263158,-0.2631578947368421,0.009868421052631578,0.08995332153226891,HAMD-17,HAMD16_core,GLM-5.2,True
