scale,model,strategy,delta_total_mae,delta_total_mae_ci_low,delta_total_mae_ci_high,total_mae_fdr_q,delta_mean_item_nae,mean_item_nae_ci_low,mean_item_nae_ci_high,mean_item_nae_fdr_q,delta_sum_abs_item_error,sum_abs_item_error_ci_low,sum_abs_item_error_ci_high,sum_abs_item_error_fdr_q,coverage_delta,coverage_ci_low,coverage_ci_high,coverage_noninferiority_pass,delta_cancellation_ratio,cancellation_ratio_ci_low,cancellation_ratio_ci_high,cancellation_ratio_fdr_q,delta_signed_error,signed_error_fdr_q,median_locked_replication_rate,median_selection_entropy,c03_retention_rate,stability_acceptable,phq_test47_delta_total_mae,phq_test47_total_mae_fdr_q,phq_test47_replication_support,level1_total_improvement,level2_true_scoring_improvement,level3_deployable_value,overall_decision,source
HAMD-17,GLM-5.2,A,-0.2901960784313725,-0.7681495098039218,0.2299632352941173,0.3797620237976202,0.0064730211937716,-0.0023673249170991,0.0156832107843137,0.3797620237976202,0.1911764705882352,-0.2539460784313725,0.6573774509803921,0.4163583641635837,0.0202020202020202,-0.0303282828282828,0.0757575757575757,True,0.0514314280490751,-0.0126268470091999,0.1130166812354312,0.1284871512848715,1.4323529411764706,0.0002999700029997,0.424,0.677023250773509,0.1764705882352941,False,,,False,False,False,False,Not_supported,pdch_heterogeneous_condition_three_strategy_20260827/three_strategy_decision_summary.csv
HAMD-17,GLM-5.2,B,-0.3295343137254902,-0.6933210784313724,0.0721200980392153,0.3521647835216478,0.0011418384755863,-0.006463796226211,0.0090275487492791,0.9825017498250176,-0.0043709150326797,-0.3749662990196079,0.3886121323529412,0.9825017498250176,0.0212121212121212,-0.0181818181818181,0.0646464646464646,True,0.0332788614211624,-0.0208246175141179,0.0900631525697485,0.2646735326467353,0.9618872549019608,0.0002999700029997,0.505,0.6412166622151302,0.1764705882352941,False,,,False,False,False,False,Not_supported,pdch_heterogeneous_condition_three_strategy_20260827/three_strategy_decision_summary.csv
HAMD-17,GLM-5.2,C,-0.1439542483660131,-0.4199346405228757,0.1095302287581696,0.760923907609239,0.0008455281622452,-0.0031838603241541,0.0049823873329969,0.760923907609239,0.0385620915032679,-0.1943014705882353,0.2885866013071894,0.760923907609239,0.009090909090909,-0.0151515151515151,0.0343434343434343,True,0.0127413315010633,-0.0225520989787317,0.0526093021381732,0.5206479352064793,0.5691993464052287,0.0005999400059994,0.523,0.5088403454170367,0.5882352941176471,False,,,False,False,False,False,Not_supported,pdch_heterogeneous_condition_three_strategy_20260827/three_strategy_decision_summary.csv
HAMD-17,Kimi-K2.6,A,-0.6790192743764174,-1.1559647108843538,-0.2043847789115646,0.0072992700729927,0.0173528578097905,0.0088577946803721,0.0260407725590236,0.0002999700029997,0.9818197278911568,0.5333163265306123,1.427271541950113,0.0002999700029997,-0.0393939393939394,-0.0626262626262626,-0.0191919191919191,False,0.1385412604990936,0.071090511675218,0.2049661526394144,9.999000099990002e-05,1.7570124716553286,9.999000099990002e-05,0.445,0.6013821265535371,0.2941176470588235,False,,,False,True,False,False,Level1_total_improvement_only,pdch_heterogeneous_condition_three_strategy_20260827/three_strategy_decision_summary.csv
HAMD-17,Kimi-K2.6,B,-0.3070048309178744,-0.6634178743961352,0.088224637681159,0.1808819118088191,0.0051039890593918,-0.0026983984263995,0.0122962178530832,0.1851814818518148,0.3198872785829307,-0.0316344605475039,0.6681239935587763,0.1808819118088191,-0.0404040404040404,-0.0828282828282828,0.003030303030303,False,0.0771097557521257,0.0187671871007335,0.136108959070436,0.0102989701029897,0.7681159420289855,0.0002999700029997,0.472,0.5958487555022355,0.4117647058823529,False,,,False,False,False,False,Not_supported,pdch_heterogeneous_condition_three_strategy_20260827/three_strategy_decision_summary.csv
HAMD-17,Kimi-K2.6,C,-0.099954648526077,-0.2799892290249433,0.0921235827664399,0.2827717228277172,0.002751517273576,-0.0009322135104041,0.0064480177487661,0.2233276672332766,0.1603628117913832,-0.0266785714285714,0.3441060090702946,0.2233276672332766,-0.0101010101010101,-0.0202020202020202,-0.002020202020202,True,0.0345490091918663,0.0012007098941622,0.0665216189674522,0.0442955704429557,0.3056689342403628,0.002999700029997,0.626,0.5101123306262808,0.8235294117647058,False,,,False,False,False,False,Not_supported,pdch_heterogeneous_condition_three_strategy_20260827/three_strategy_decision_summary.csv
HAMD-17,Qwen3.7-Max,A,-0.2581597222222223,-0.7858203125000001,0.2724782986111106,0.3398660133986601,0.0182039547589869,0.0090815286075367,0.0283100083295036,0.0008999100089991,0.8314236111111111,0.3642317708333334,1.3331640625,0.0031496850314968,0.0494949494949495,0.005050505050505,0.0979797979797979,True,0.0633297167610893,-0.0173668531861316,0.1454679443465824,0.1306869313068693,1.4012152777777778,0.0002999700029997,0.442,0.6065870028745866,0.1764705882352941,False,,,False,False,False,False,Not_supported,pdch_heterogeneous_condition_three_strategy_20260827/three_strategy_decision_summary.csv
HAMD-17,Qwen3.7-Max,B,-0.2470486111111111,-0.6142491319444443,0.1269270833333332,0.204979502049795,0.0077545764399509,0.0016892616421568,0.0133894737094056,0.0254974502549745,0.4015625,0.0926953125000001,0.7297135416666666,0.0254974502549745,0.0828282828282828,0.0242424242424242,0.1494949494949495,True,0.0622406415865361,-0.0006432670055525,0.1283979997328265,0.0678932106789321,0.978298611111111,0.0002999700029997,0.543,0.5963419887620431,0.5882352941176471,False,,,False,False,False,False,Not_supported,pdch_heterogeneous_condition_three_strategy_20260827/three_strategy_decision_summary.csv
HAMD-17,Qwen3.7-Max,C,-0.1897321428571428,-0.3462444196428572,-0.0319140624999999,0.0737926207379262,0.0014562270220588,-0.0011107936827074,0.0040576018004858,0.4054094590540945,0.0665178571428571,-0.0897433035714285,0.2276785714285713,0.4235576442355764,0.0454545454545454,0.0121212121212121,0.0828282828282828,True,0.0318567283411033,0.0007061217861998,0.0618640174929237,0.0521947805219478,0.4732142857142856,0.0002999700029997,0.816,0.3528300112105655,0.8235294117647058,True,,,False,False,False,False,Not_supported,pdch_heterogeneous_condition_three_strategy_20260827/three_strategy_decision_summary.csv
PHQ-8,DeepSeek-V4-Pro,A,-0.9746478873239436,-1.3591549295774648,-0.6020774647887326,0.0002999700029997,0.0057511737089201,-0.0043735328638497,0.0162272593896713,0.2853714628537146,0.1380281690140845,-0.1219366197183098,0.3816901408450704,0.2853714628537146,0.0,0.0,0.0,True,0.1629601267277323,0.1140448471716077,0.2155319760442998,9.999000099990002e-05,1.7366197183098593,9.999000099990002e-05,0.6385000000000001,0.525012061266158,0.125,False,-0.5319148936170213,0.2615738426157384,False,True,False,False,Level1_total_improvement_only,pdch_heterogeneous_condition_three_strategy_20260827/three_strategy_decision_summary.csv
