量表,队列,模型,思考模式,条件编号,刺激条件,输入范围,规整状态,清洗状态,条目编号,条目名称,相关方法,总记录数n_total,符合主分析资格n_eligible,实际使用n_used,未使用n_missing或无效,AI预测9排除n_sentinel9,AI预测不同取值数,总分一致样本数（仅敏感性使用）,普通相关系数,普通95%CI下限,普通95%CI上限,普通解析P值（复现参照）,普通置换P值,校正相关系数,校正95%CI下限,校正95%CI上限,校正解析P值（复现参照）,校正置换P值,校正减普通相关变化,相关变化95%CI下限,相关变化95%CI上限,相对相关保留比例,可估计性代码,可估计性,校正总分规则,普通FDR校正q值,校正FDR校正q值,普通FDR结论,校正FDR结论,校正关联类型
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,1,抑郁情绪,Spearman秩相关,24,24,24,0,0,4,1,0.7436431822169829,0.4921807787137837,0.8914770804321531,3.119729856014594e-05,9.999000099990002e-05,0.59549773804163,0.2410800812443811,0.8554058025532085,0.0021397521368095207,0.0024997500249975004,-0.1481454441753529,-0.35375884258451057,-0.002771296774723806,0.8007842366903776,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.0011332200113322,0.014781130582593916,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,2,有罪感,Spearman秩相关,24,24,24,0,0,3,1,0.41287707647474264,0.03203186973722502,0.7118151666018635,0.04494407229081951,0.0448955104489551,0.33553077157592176,-0.07986489018419586,0.6722201850898692,0.10896266415092927,0.10788921107889211,-0.07734630489882088,-0.23225483910365569,0.04417451732917742,0.8126650538237076,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.06938397069383971,0.1650172061445541,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,3,自杀,Spearman秩相关,24,24,24,0,0,4,1,0.4901727629651677,0.13406695214085287,0.7718142439809024,0.015031708638959277,0.014998500149985002,0.32961374290946177,-0.08713228574999045,0.6646848951865559,0.11574359744832703,0.11498850114988501,-0.16055902005570594,-0.34176968868835544,-0.044494275869191295,0.6724440193607505,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.027197280271972803,0.17131330345226345,FDR显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,4,入睡困难,Spearman秩相关,24,24,24,0,0,3,1,0.5801491354312616,0.15780758047275065,0.8505006301470809,0.0029605728502111214,0.004899510048995101,0.5513121704424616,0.14888695085772022,0.8380389856220827,0.0052316172354861,0.0057994200579942,-0.02883696498879995,-0.09214783833593711,0.0,0.9502938757852951,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.01074731236553764,0.0182345401823454,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,5,睡眠不深,Spearman秩相关,24,24,24,0,0,3,1,0.3696896951717038,-0.033805149576306356,0.703294143174524,0.07540004482478062,0.07339266073392661,0.21149446046816192,-0.25548511197956764,0.6083030225522884,0.32115971413350664,0.31626837316268375,-0.15819523470354188,-0.3234592453929933,-0.04092147565474617,0.5720864368965776,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.10290105010117545,0.3840401674118303,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,6,早醒,Spearman秩相关,24,24,24,0,0,3,1,0.3803501943707582,-0.11810888031466771,0.7291750291925387,0.06673361665771534,0.0680931906809319,0.3494523407357828,-0.14666154845674542,0.7027735902647383,0.09416661824800003,0.09429057094290572,-0.03089785363497538,-0.1328160040121592,0.033436864565790654,0.9187647223735694,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.09646535346465353,0.14911067032831601,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,7,工作和活动,Spearman秩相关,24,24,24,0,0,5,1,0.7541235312866506,0.4918711992531158,0.9117675897275492,2.0799441088638144e-05,0.00029997000299970003,0.6106090917911239,0.21697582123604695,0.8740846622081125,0.0015294755618682808,0.0027997200279972004,-0.14351443949552667,-0.34859019784263046,-0.014068314142504142,0.8096937258400239,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.0018543600185436002,0.01523047695230477,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,8,迟滞,Spearman秩相关,24,24,24,0,0,3,1,0.7140317626453581,0.4682437906509281,0.8626822963102099,8.907362941903911e-05,0.00029997000299970003,0.6645532110842073,0.3221584095991981,0.8450635159191577,0.0003969990868144388,0.0007999200079992001,-0.049478551561150774,-0.2073712525426077,0.05051475734641318,0.9307053913430381,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.0018543600185436002,0.00815918408159184,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,9,激越,Spearman秩相关,24,24,24,0,0,3,1,0.39063162971579013,-0.010722681360720363,0.6932906289116962,0.059118302679932316,0.064993500649935,0.38327170943399036,-0.03113183939881987,0.7039894968538166,0.06449730191367586,0.0658934106589341,-0.00735992028179977,-0.08761080392292675,0.06913300705072198,0.9811589238507015,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.09304332724622273,0.11201879812018797,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,10,精神性焦虑,Spearman秩相关,24,24,24,0,0,4,1,0.6600665852895982,0.33195414840208576,0.8440906366784844,0.00044859443458000303,0.0012998700129987,0.611016804379221,0.23993766207754555,0.8207663604096516,0.0015153303995758152,0.0021997800219978004,-0.04904978091037715,-0.1477509005937278,0.018300808662261314,0.9256896470696862,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.004777900588319547,0.01424619442817623,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,11,躯体性焦虑,Spearman秩相关,24,24,24,0,0,4,1,0.6604939493481464,0.33390117830381494,0.8384334753945583,0.0004434416825805096,0.0004999500049995,0.60363396361039,0.2641817373017138,0.8101826369480821,0.0017895542178754595,0.0033996600339966003,-0.05685998573775641,-0.19850220023382534,0.072634837518372,0.9139129347151892,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.0026151231030743078,0.01631836816318368,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,12,胃肠道症状,Spearman秩相关,24,24,24,0,0,3,1,0.29441042155011476,-0.09789013791602193,0.6354350497789103,0.16256611637884621,0.16778322167783222,0.25096634172642107,-0.17656325518716195,0.6206741056333995,0.23685134480327366,0.23917608239176083,-0.04344407982369369,-0.1112683096408126,-0.00022099850384898136,0.8524370177014994,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.20373676918022482,0.3127687231276873,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,13,全身症状,Spearman秩相关,24,24,24,0,0,3,1,0.5112169365188771,0.18190142471370066,0.7667834834689757,0.010676519680983295,0.011898810118988102,0.36896563383357056,-0.05362328222347219,0.6825621985552351,0.07601821113055277,0.07879212078792121,-0.14225130268530656,-0.3545628880488599,-0.012831134123079475,0.7217398475606768,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.02186808346192408,0.12910516177297932,FDR显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,14,性症状,Spearman秩相关,24,11,11,13,13,3,1,0.8695427828248539,0.5590031504638138,0.9570202978345286,0.0005056632555954532,0.0013998600139986002,0.7602045506994217,0.28423316813555616,0.9375872052464562,0.006615044502485979,0.008399160083991601,-0.10933823212543214,-0.43416209720975374,0.0,0.8742577889379649,not_estimable,不可估计,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.004881563125738709,0.023589477786915183,FDR显著,FDR显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,15,疑病,Spearman秩相关,24,24,24,0,0,3,1,0.05229128801703313,-0.41329625336735315,0.4808203024638429,0.8082655984890613,0.81001899810019,-0.021870517209176772,-0.5162951057401711,0.45885930139139686,0.9192049246938472,0.923007699230077,-0.07416180522620991,-0.19795353139035687,0.008516866067313599,-0.4182439951001545,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.81001899810019,0.9362915560295824,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,16,体重减轻,Spearman秩相关,24,24,24,0,0,3,1,0.40665877508452936,-0.06653243720474054,0.7366655772330929,0.04860539730595274,0.04789521047895211,0.36831763555399727,-0.07473481837549836,0.7184626494451681,0.07657469037600717,0.073992600739926,-0.03834113953053209,-0.13388408048974815,0.000595499443457212,0.9057166797333652,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.07237498472374984,0.12271943537353582,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,17,自知力,Spearman秩相关,24,24,24,0,0,3,1,0.22682658482900483,-0.2590373720076025,0.5958992812547244,0.2864829480158689,0.2853714628537146,0.19951549742052974,-0.3414836626045183,0.5968638576738304,0.3499487985741812,0.35536446355364465,-0.0273110874084751,-0.11468354799793645,0.03551190306607923,0.8795948568856521,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.3234209912342099,0.4166341986491007,FDR不显著,FDR不显著,not_estimable
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,1,抑郁情绪,Spearman秩相关,24,24,24,0,0,4,1,0.7314745942980608,0.47475906618142233,0.8946029192366873,4.879975413641884e-05,0.00029997000299970003,0.6224228834068171,0.27320851249336287,0.8553910688480965,0.0011624493834366083,0.0012998700129987,-0.10905171089124377,-0.2407657533994903,-0.015623529762319559,0.8509152447107309,exploratory_only,探索性,金标准总分－对应金标准条目分；HAMD14金标准9视为无法评估且总分已不含该项,0.0018543600185436002,0.0103989601039896,FDR显著,FDR显著,not_estimable
