scale,model,cohort,thinking_mode,validation_layer,strategy,analysis_layer,fixed_scale,subject_universe_n,strategy_strict_complete_repeat_n,c03_strict_complete_repeat_n,strict_joint_repeat_n,strict_joint_subject_n,gold_full_evaluable_n,fixed_scale_gold_evaluable_n,strategy_any_evaluable_n,strict_complete_n,strategy_mae,c03_mae,strategy_rmse,c03_rmse,strategy_signed_bias,c03_signed_bias,strategy_over_rate,c03_over_rate,strategy_under_rate,c03_under_rate,strategy_pearson,c03_pearson,strategy_spearman,c03_spearman,strategy_icc_a1,c03_icc_a1,strategy_weighted_kappa,c03_weighted_kappa,delta_mae,delta_mae_ci_low,delta_mae_ci_high,delta_mae_p,result_layer,source_scale,gold_hamd17_evaluable_n,coverage_threshold,eligible_subject_n,common_support_80_n,common_support_90_n,mean_common_item_coverage,mean_common_score_range_coverage,normalized_partial_ae_strategy,normalized_partial_ae_c03,delta_normalized_partial_ae,delta_normalized_partial_ae_ci_low,delta_normalized_partial_ae_ci_high,delta_normalized_partial_ae_p,partial_ae_strategy,partial_ae_c03,delta_partial_ae,delta_partial_ae_ci_low,delta_partial_ae_ci_high,delta_partial_ae_p,strict_strategy_n,strict_c03_n,normalized_partial_ae_fdr_q,partial_ae_fdr_q,coverage_noninferiority_ci_low,coverage_noninferiority_ci_high,coverage_noninferiority_p,coverage_noninferiority_fdr_q,coverage_noninferiority_pass
HAMD-17,GLM-5.2,PDCH标签99人,思考,locked_outer_10x5_oof,A,strict_complete,,99,630.0,610.0,578.0,61.0,92.0,,99,61,2.9519125683060117,3.360655737704918,3.9352593228489043,4.3776631238857915,0.43606557377049177,-1.0327868852459017,0.5081967213114754,0.36065573770491804,0.45901639344262296,0.5081967213114754,0.8654615921436655,0.8412508066695008,0.8234883350025268,0.8150476655773939,0.8657735455495875,0.8356129709662602,0.8526627715188281,0.8280294930503722,-0.3038251366120218,-0.8039890710382513,0.19344262295081965,0.25307469253074694,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMD-17,GLM-5.2,PDCH标签99人,思考,locked_outer_10x5_oof,B,strict_complete,,99,631.0,610.0,591.0,61.0,92.0,,99,61,3.0129781420765034,3.360655737704918,4.063683763360216,4.3776631238857915,-0.009699453551912731,-1.0327868852459017,0.5245901639344263,0.36065573770491804,0.47540983606557374,0.5081967213114754,0.8575219342129751,0.8412508066695008,0.8290238123605457,0.8150476655773939,0.8595286588881211,0.8356129709662602,0.8461399442108986,0.8280294930503722,-0.2558743169398907,-0.653025956284153,0.1354303278688515,0.23107689231076892,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMD-17,GLM-5.2,PDCH标签99人,思考,locked_outer_10x5_oof,C,strict_complete,,99,619.0,610.0,599.0,61.0,92.0,,99,61,3.150728597449909,3.360655737704918,4.177697178329602,4.3776631238857915,-0.4376138433515481,-1.0327868852459017,0.39344262295081966,0.36065573770491804,0.5737704918032787,0.5081967213114754,0.8519770758361772,0.8412508066695008,0.8284699046625043,0.8150476655773939,0.8526500085709645,0.8356129709662602,0.838934787636055,0.8280294930503722,-0.1080145719489982,-0.40657103825136615,0.1769216757741345,0.46455354464553544,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMD-17,Kimi-K2.6,PDCH标签99人,思考,locked_outer_10x5_oof,A,strict_complete,,99,591.0,630.0,587.0,63.0,92.0,,99,63,3.057791635172587,3.6984126984126986,3.9098355012115857,4.715728494951256,-1.4064940791131268,-3.0952380952380953,0.38095238095238093,0.12698412698412698,0.6190476190476191,0.7777777777777778,0.8782811526456433,0.8849881656034223,0.8143850214343045,0.8527137447128094,0.8611049404730178,0.8132891393786192,0.8619766309639727,0.8132087128081469,-0.5004976064499874,-0.9884711199294534,-0.02725623582766476,0.05319468053194681,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMD-17,Kimi-K2.6,PDCH标签99人,思考,locked_outer_10x5_oof,B,strict_complete,,99,590.0,630.0,577.0,62.0,92.0,,99,62,3.374193548387097,3.725806451612903,4.368693611477892,4.746815570939757,-2.47741935483871,-3.1774193548387095,0.22580645161290322,0.11290322580645161,0.7741935483870968,0.7903225806451613,0.8807941959338372,0.8870700343578038,0.8365196975905344,0.8563791584777684,0.8300196234547971,0.8124250234972233,0.8285455493090309,0.8123001564732295,-0.2739247311827957,-0.6175201612903224,0.10700268817204306,0.13538646135386462,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMD-17,Kimi-K2.6,PDCH标签99人,思考,locked_outer_10x5_oof,C,strict_complete,,99,620.0,630.0,619.0,63.0,92.0,,99,63,3.555605946082136,3.6984126984126986,4.508089602047668,4.715728494951256,-2.8254472159234063,-3.0952380952380953,0.19047619047619047,0.12698412698412698,0.8095238095238095,0.7777777777777778,0.887618733124726,0.8849881656034223,0.8453115918421775,0.8527137447128094,0.8258663305412001,0.8132891393786192,0.827108901405659,0.8132087128081469,-0.09201310153691102,-0.2790255731922398,0.09190476190476182,0.33536646335366466,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMD-17,Qwen3.7-Max,PDCH标签99人,思考,locked_outer_10x5_oof,A,strict_complete,,99,619.0,570.0,557.0,57.0,92.0,,99,57,3.1785575048732944,3.3859649122807016,4.0902563608754985,4.358898943540674,-0.9126705653021442,-2.087719298245614,0.42105263157894735,0.22807017543859648,0.5789473684210527,0.6842105263157895,0.8615252257573703,0.8700994141235479,0.8052866716208513,0.8258530055124697,0.8571962364691126,0.8400481058328323,0.8403807487410629,0.8225852696794942,-0.14775828460038992,-0.6495614035087721,0.3827144249512667,0.5851414858514149,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMD-17,Qwen3.7-Max,PDCH标签99人,思考,locked_outer_10x5_oof,B,strict_complete,,99,652.0,570.0,551.0,57.0,92.0,,99,57,3.129629629629629,3.3859649122807016,4.046121634549327,4.358898943540674,-1.150682261208577,-2.087719298245614,0.3508771929824561,0.22807017543859648,0.6491228070175439,0.6842105263157895,0.8637617354079319,0.8700994141235479,0.7974620498449518,0.8258530055124697,0.8556775564319999,0.8400481058328323,0.840099123880615,0.8225852696794942,-0.17563352826510714,-0.5778313840155946,0.24288986354775832,0.403959604039596,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMD-17,Qwen3.7-Max,PDCH标签99人,思考,locked_outer_10x5_oof,C,strict_complete,,99,615.0,570.0,560.0,57.0,92.0,,99,57,3.181704260651629,3.3859649122807016,4.161515756382451,4.358898943540674,-1.64937343358396,-2.087719298245614,0.3157894736842105,0.22807017543859648,0.6491228070175439,0.6842105263157895,0.8685668187732792,0.8700994141235479,0.8107935164571513,0.8258530055124697,0.8500602667907687,0.8400481058328323,0.8388750322525157,0.8225852696794942,-0.15864661654135334,-0.3235839598997493,0.014078947368420865,0.07129287071292871,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,DeepSeek-V4-Pro,DAIC-WOZ全量189人,思考,locked_outer_10x5_oof,A,strict_complete,,142,1420.0,1420.0,1420.0,142.0,142.0,,142,142,3.1774647887323946,4.183098591549296,4.33662749474393,5.651872430604833,-1.8971830985915492,-3.6338028169014085,0.2887323943661972,0.1056338028169014,0.6267605633802817,0.7323943661971831,0.7336543675666877,0.6561800674033549,0.7400973957562436,0.7018644790336417,0.6635609189008123,0.46145412841719174,0.65882576456861,0.46102210837998847,-0.9746478873239437,-1.3564788732394368,-0.6337676056338031,9.999000099990002e-05,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
