量表,队列,队列性质,模型,思考模式,条件编号,刺激条件,输入范围,规整状态,清洗状态,总记录数,可评估条目主分析记录数,可评估条目主分析纳入率,完整条目集比例,总分一致记录数（审计）,总分一致率（仅审计）,平均AI报告总分MAE,中位数AI报告总分MAE,平均条目NAE,中位数条目NAE,平均条目MAE,中位数条目MAE,平均条目绝对误差和,中位数条目绝对误差和,平均条目和总分绝对误差,中位数条目和总分绝对误差,平均误差抵消量,中位数误差抵消量,平均误差抵消率,中位数误差抵消率,平均报告总分-逐条和绝对差,中位数报告总分-逐条和绝对差,平均条目有符号误差和,C03基线均值_平均条目NAE,C03基线均值_总分MAE（AI报告总分绝对误差）,C03基线均值_误差抵消率,FDR校正q值_平均条目NAE,FDR校正q值_总分MAE（AI报告总分绝对误差）,FDR校正q值_误差抵消率,共同完整被试数N_平均条目NAE,共同完整被试数N_总分MAE（AI报告总分绝对误差）,共同完整被试数N_误差抵消率,差值95%CI上限_平均条目NAE,差值95%CI上限_总分MAE（AI报告总分绝对误差）,差值95%CI上限_误差抵消率,差值95%CI下限_平均条目NAE,差值95%CI下限_总分MAE（AI报告总分绝对误差）,差值95%CI下限_误差抵消率,目标条件均值_平均条目NAE,目标条件均值_总分MAE（AI报告总分绝对误差）,目标条件均值_误差抵消率,相对C03差值_目标减基线_平均条目NAE,相对C03差值_目标减基线_总分MAE（AI报告总分绝对误差）,相对C03差值_目标减基线_误差抵消率,配对置换P值_平均条目NAE,配对置换P值_总分MAE（AI报告总分绝对误差）,配对置换P值_误差抵消率,平均校正题总相关rho,校正题总相关可估计条目数,相对C03平均校正rho变化,校正rho变化条目数,校正rho变化正向条目数,校正rho变化FDR显著增强条目数,校正rho变化FDR显著减弱条目数,相对C03校正题总相关变化,相对C03总分MAE变化,相对C03平均条目NAE变化,相对C03误差抵消率变化,总分MAE配对q值,平均条目NAE配对q值,误差抵消率配对q值,相对C03总分MAE变化95%CI下限,相对C03总分MAE变化95%CI上限,相对C03平均条目NAE变化95%CI下限,相对C03平均条目NAE变化95%CI上限,相对C03误差抵消率变化95%CI下限,相对C03误差抵消率变化95%CI上限,一致性类型,结果方向说明
HAMD-17,PDCH共同24人验证,探索性（共同24人验证队列）,GLM-5.2,不思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,24,24,1.0,0.4583333333333333,1,0.041666666666666664,3.375,3.0,0.1511948529411765,0.12867647058823528,0.46246936274509803,0.4375,7.583333333333333,7.0,2.6666666666666665,2.5,4.916666666666667,4.0,0.6071023883523883,0.6666666666666666,2.2916666666666665,2.0,-0.6666666666666666,0.1511948529411765,3.375,0.6071023883523883,,,,24,24,24,,,,,,,0.1511948529411765,3.375,0.6071023883523883,0.0,0.0,0.0,,,,0.42188736155865386,17,,,,,,,0.0,0.0,0.0,,,,,,,,,,C03_题总相关基线,Δ总分MAE<0=总分改善；Δ条目NAE<0=条目改善；Δ校正rho>0=结构关联增强；Δ抵消率>0=抵消增强
HAMD-17,PDCH共同24人验证,探索性（共同24人验证队列）,GLM-5.2,不思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,24,24,1.0,0.5416666666666666,1,0.041666666666666664,3.0833333333333335,2.5,0.1490502450980392,0.13970588235294118,0.45955882352941174,0.47058823529411764,7.583333333333333,8.0,2.3333333333333335,1.5,5.25,4.0,0.6600043475043474,0.7083333333333333,2.25,2.0,0.3333333333333333,0.1511948529411765,3.375,0.6071023883523883,0.8110944527736131,0.6954522738630684,0.7736131934032985,24,24,24,0.009803921568627453,0.375,0.14113793613793615,-0.015204695159313726,-1.0,-0.029257270507270502,0.1490502450980392,3.0833333333333335,0.6600043475043474,-0.002144607843137254,-0.2916666666666667,0.052901959151959145,0.7421289355322339,0.496751624187906,0.24087956021989004,0.4471771057968124,17,0.029042686110088107,17.0,11.0,1.0,0.0,0.029042686110088107,-0.2916666666666667,-0.002144607843137254,0.052901959151959145,0.6954522738630684,0.8110944527736131,0.7736131934032985,-1.0,0.375,-0.015204695159313726,0.009803921568627453,-0.029257270507270502,0.14113793613793615,D_无一致改善,Δ总分MAE<0=总分改善；Δ条目NAE<0=条目改善；Δ校正rho>0=结构关联增强；Δ抵消率>0=抵消增强
HAMD-17,PDCH共同24人验证,探索性（共同24人验证队列）,GLM-5.2,不思考,7,C07：全文｜规整｜逐条评分｜不清洗,全文,规整,不清洗,24,24,1.0,0.7083333333333334,3,0.125,2.625,2.0,0.16559436274509806,0.1438419117647059,0.4872855392156863,0.4540441176470588,8.125,7.5,2.5416666666666665,1.5,5.583333333333333,4.0,0.67742673992674,0.717948717948718,1.4583333333333333,1.0,1.5416666666666667,0.1511948529411765,3.375,0.6071023883523883,0.3708145927036482,0.5772113943028486,0.7736131934032985,24,24,24,0.03205422794117647,0.2927083333333277,0.18832114644614645,-0.0019914215686274504,-1.8333333333333333,-0.04872693857068858,0.16559436274509806,2.625,0.67742673992674,0.014399509803921568,-0.75,0.07032435157435157,0.10594702648675662,0.2178910544727636,0.29485257371314344,0.4352255123981166,17,0.011017245209986518,17.0,10.0,0.0,0.0,0.011017245209986518,-0.75,0.014399509803921568,0.07032435157435157,0.5772113943028486,0.3708145927036482,0.7736131934032985,-1.8333333333333333,0.2927083333333277,-0.0019914215686274504,0.03205422794117647,-0.04872693857068858,0.18832114644614645,D_无一致改善,Δ总分MAE<0=总分改善；Δ条目NAE<0=条目改善；Δ校正rho>0=结构关联增强；Δ抵消率>0=抵消增强
HAMD-17,PDCH共同24人验证,探索性（共同24人验证队列）,GLM-5.2,不思考,8,C08：全文｜规整｜逐条评分｜清洗,全文,规整,清洗,24,24,1.0,0.7083333333333334,2,0.08333333333333333,3.4166666666666665,3.0,0.17513020833333334,0.15441176470588236,0.5225183823529411,0.5,8.708333333333334,8.5,3.2083333333333335,2.5,5.5,4.0,0.6320117382617383,0.7083333333333333,1.75,2.0,2.0416666666666665,0.1511948529411765,3.375,0.6071023883523883,0.0559720139930035,1.0,0.7736131934032985,24,24,24,0.0415575214460784,1.2083333333333333,0.1536897940022937,0.007927389705882354,-0.9166666666666666,-0.09010029322529324,0.17513020833333334,3.4166666666666665,0.6320117382617383,0.023935355392156864,0.041666666666666664,0.024909349909349926,0.0079960019990005,1.0,0.7021489255372314,0.37568459152676453,17,-0.043144740178396764,17.0,7.0,0.0,0.0,-0.043144740178396764,0.041666666666666664,0.023935355392156864,0.024909349909349926,1.0,0.0559720139930035,0.7736131934032985,-0.9166666666666666,1.2083333333333333,0.007927389705882354,0.0415575214460784,-0.09010029322529324,0.1536897940022937,D_无一致改善,Δ总分MAE<0=总分改善；Δ条目NAE<0=条目改善；Δ校正rho>0=结构关联增强；Δ抵消率>0=抵消增强
HAMD-17,PDCH共同24人验证,探索性（共同24人验证队列）,GLM-5.2,不思考,11,C11：事件序列｜不规整｜逐条评分｜不清洗,事件序列,不规整,不清洗,24,24,1.0,0.6666666666666666,5,0.20833333333333334,3.4583333333333335,2.0,0.14613970588235295,0.125,0.45343137254901955,0.4117647058823529,7.5,7.0,2.8333333333333335,2.0,4.666666666666667,4.0,0.590525678025678,0.6666666666666666,1.875,1.0,-0.25,0.1511948529411765,3.375,0.6071023883523883,0.7843078460769616,1.0,0.7736131934032985,24,24,24,0.013483264399509786,1.2083333333333333,0.07300919566544564,-0.020105698529411766,-1.0,-0.09274001461501463,0.14613970588235295,3.4583333333333335,0.590525678025678,-0.00505514705882353,0.08333333333333333,-0.016576710326710334,0.5602198900549725,0.9500249875062469,0.7091454272863568,0.4017019826818137,17,-0.010020878954853693,17.0,7.0,1.0,0.0,-0.010020878954853693,0.08333333333333333,-0.00505514705882353,-0.016576710326710334,1.0,0.7843078460769616,0.7736131934032985,-1.0,1.2083333333333333,-0.020105698529411766,0.013483264399509786,-0.09274001461501463,0.07300919566544564,D_无一致改善,Δ总分MAE<0=总分改善；Δ条目NAE<0=条目改善；Δ校正rho>0=结构关联增强；Δ抵消率>0=抵消增强
HAMD-17,PDCH共同24人验证,探索性（共同24人验证队列）,GLM-5.2,不思考,12,C12：事件序列｜不规整｜逐条评分｜清洗,事件序列,不规整,清洗,24,24,1.0,0.7083333333333334,5,0.20833333333333334,2.9166666666666665,2.0,0.1443780637254902,0.1323529411764706,0.43903186274509803,0.4117647058823529,7.291666666666667,7.0,2.2916666666666665,2.0,5.0,4.0,0.6660027472527472,0.6666666666666666,1.7083333333333333,2.0,0.125,0.1511948529411765,3.375,0.6071023883523883,0.7634932533733134,0.5772113943028486,0.7736131934032985,24,24,24,0.00896235447303921,0.20833333333333334,0.19837305634180627,-0.02443416819852941,-1.1666666666666667,-0.05492790774040772,0.1443780637254902,2.9166666666666665,0.6660027472527472,-0.006816789215686274,-0.4583333333333333,0.058900358900358905,0.4352823588205897,0.24737631184407796,0.39980009995002497,0.4298557339969527,17,0.01897870097271283,17.0,9.0,2.0,0.0,0.01897870097271283,-0.4583333333333333,-0.006816789215686274,0.058900358900358905,0.5772113943028486,0.7634932533733134,0.7736131934032985,-1.1666666666666667,0.20833333333333334,-0.02443416819852941,0.00896235447303921,-0.05492790774040772,0.19837305634180627,D_无一致改善,Δ总分MAE<0=总分改善；Δ条目NAE<0=条目改善；Δ校正rho>0=结构关联增强；Δ抵消率>0=抵消增强
HAMD-17,PDCH共同24人验证,探索性（共同24人验证队列）,GLM-5.2,不思考,15,C15：事件序列｜规整｜逐条评分｜不清洗,事件序列,规整,不清洗,24,24,1.0,0.9166666666666666,7,0.2916666666666667,2.9166666666666665,2.0,0.14901194852941177,0.1323529411764706,0.4699754901960784,0.4411764705882353,7.916666666666667,7.5,3.0833333333333335,2.0,4.833333333333333,4.0,0.5848572723572724,0.606060606060606,1.4166666666666667,1.0,0.75,0.1511948529411765,3.375,0.6071023883523883,0.8110944527736131,0.6954522738630684,0.7736131934032985,24,24,24,0.01777056525735294,0.5833333333333334,0.13763347763347764,-0.021448950674019612,-1.5,-0.18771559459059461,0.14901194852941177,2.9166666666666665,0.5848572723572724,-0.0021829044117647055,-0.4583333333333333,-0.022245115995116,0.8110944527736131,0.4547726136931534,0.7736131934032984,0.3711739883242699,17,-0.05191987833793303,17.0,9.0,0.0,0.0,-0.05191987833793303,-0.4583333333333333,-0.0021829044117647055,-0.022245115995116,0.6954522738630684,0.8110944527736131,0.7736131934032985,-1.5,0.5833333333333334,-0.021448950674019612,0.01777056525735294,-0.18771559459059461,0.13763347763347764,D_无一致改善,Δ总分MAE<0=总分改善；Δ条目NAE<0=条目改善；Δ校正rho>0=结构关联增强；Δ抵消率>0=抵消增强
HAMD-17,PDCH共同24人验证,探索性（共同24人验证队列）,GLM-5.2,不思考,16,C16：事件序列｜规整｜逐条评分｜清洗,事件序列,规整,清洗,24,24,1.0,0.875,7,0.2916666666666667,2.5416666666666665,2.0,0.14418658088235292,0.1323529411764706,0.453125,0.4117647058823529,7.625,7.0,2.875,2.0,4.75,4.0,0.6257696007696008,0.6666666666666666,1.4166666666666667,1.0,1.125,0.1511948529411765,3.375,0.6071023883523883,0.7634932533733134,0.5772113943028486,0.7736131934032985,24,24,24,0.009729243259803913,0.0,0.14426406926406926,-0.023284313725490197,-1.6666666666666667,-0.10177090848965854,0.14418658088235292,2.5416666666666665,0.6257696007696008,-0.007008272058823529,-0.8333333333333334,0.01866721241721242,0.4362818590704648,0.0864567716141929,0.7726136931534233,0.4065834124390745,17,-0.01184418889502865,17.0,10.0,1.0,0.0,-0.01184418889502865,-0.8333333333333334,-0.007008272058823529,0.01866721241721242,0.5772113943028486,0.7634932533733134,0.7736131934032985,-1.6666666666666667,0.0,-0.023284313725490197,0.009729243259803913,-0.10177090848965854,0.14426406926406926,D_无一致改善,Δ总分MAE<0=总分改善；Δ条目NAE<0=条目改善；Δ校正rho>0=结构关联增强；Δ抵消率>0=抵消增强
HAMD-17,PDCH共同24人验证,探索性（共同24人验证队列）,GLM-5.2,思考,3,C03：全文｜不规整｜逐条评分｜不清洗,全文,不规整,不清洗,24,24,1.0,0.6666666666666666,13,0.5416666666666666,3.1666666666666665,2.0,0.14770986519607843,0.15900735294117646,0.4499080882352941,0.47058823529411764,7.458333333333333,8.0,2.7916666666666665,2.0,4.666666666666667,4.0,0.5675835738335738,0.6190476190476191,0.5833333333333334,0.0,-0.7916666666666666,0.14770986519607843,3.1666666666666665,0.5675835738335738,,,,24,24,24,,,,,,,0.14770986519607843,3.1666666666666665,0.5675835738335738,0.0,0.0,0.0,,,,0.42071279590112126,17,,,,,,,0.0,0.0,0.0,,,,,,,,,,C03_题总相关基线,Δ总分MAE<0=总分改善；Δ条目NAE<0=条目改善；Δ校正rho>0=结构关联增强；Δ抵消率>0=抵消增强
HAMD-17,PDCH共同24人验证,探索性（共同24人验证队列）,GLM-5.2,思考,4,C04：全文｜不规整｜逐条评分｜清洗,全文,不规整,清洗,24,24,1.0,0.75,17,0.7083333333333334,3.4166666666666665,2.0,0.1506204044117647,0.1323529411764706,0.4548100490196078,0.42463235294117646,7.583333333333333,7.0,3.1666666666666665,2.0,4.416666666666667,4.0,0.5186868686868688,0.6190476190476191,0.20833333333333334,0.0,-0.75,0.14770986519607843,3.1666666666666665,0.5675835738335738,0.7651174412793603,0.7701982342162252,0.5660169915042479,24,24,24,0.021638518688725482,1.1666666666666667,0.06630223364598348,-0.015358838848039218,-0.5416666666666666,-0.16678030303030303,0.1506204044117647,3.4166666666666665,0.5186868686868688,0.0029105392156862724,0.25,-0.04889670514670514,0.7651174412793603,0.6601699150424788,0.40429785107446276,0.41886474533097,17,0.000277411679603302,17.0,10.0,1.0,1.0,0.000277411679603302,0.25,0.0029105392156862724,-0.04889670514670514,0.7701982342162252,0.7651174412793603,0.5660169915042479,-0.5416666666666666,1.1666666666666667,-0.015358838848039218,0.021638518688725482,-0.16678030303030303,0.06630223364598348,D_无一致改善,Δ总分MAE<0=总分改善；Δ条目NAE<0=条目改善；Δ校正rho>0=结构关联增强；Δ抵消率>0=抵消增强
