artifact,description,row_n,sha256,contains_model_outcome
01_prompt_field_inventory.csv,field_inventory,186,3591259b9528290dfd59923e8148f7b19e019413f74103ff784c9b9ee8c55d1b,no
02_unique_prompt_templates.csv,templates,1458,5d1141517ed2deba6885ad0e683dda3134bd0add8f5b6914cc7d65c786190dd1,no
03_condition_design_dictionary.csv,condition_dictionary,24,25a756d0f2c06e991631a4f7dc3380a68b1daea10574eb3dcf52b3750c9d5c14,no
04_prompt_pairwise_diff.csv,pairwise_diff,414,2f75041332d76bcf6e3c04e5f29a8a8b3205d0e6c90aee70f44100bf0152f2ba,no
05_prompt_feature_coding.csv,feature_coding,168,27c91cdfaabef9015949523733b90a0d9b1d0eb056e6481f60c308c030845b3d,no
06_prompt_feature_manual_review.csv,manual_review,153,e410f35bd630f373f2266a15e575ee4dc5ad7fda458ebcd7051462f0e813ac02,no
07_prompt_manipulation_audit.csv,manipulation_audit,54,1ad05cafe33592be98dd6fefc719f044c4114889c1a9b2f1c18fd7128df061c8,no
08_prompt_analysis_frozen_input.csv,frozen_input,168,3090b1a31eef7b336b9a32f56c7f696dd4e901c80840adfc7fc925464a01373b,no
10_data_quality_issues.csv,data_quality,5,ce750f05f1df6828360e29326855bf9b962fd78035d5d30bcb72fef595e8953e,no
11_coding_rules.csv,coding_rules,20,1bd9f8a1e0b49628825ae9ab48a3080c7aaccbff7b2177e8ef11c87e7081c2ff,no
PDCH_PHQ_HAMD_所有模型所有条件_提示词字段完整修正版_20260807.xlsx,original local source workbook,,b3286e7dbb28dc40f218b9ae35f87da7307cf7a0b7cb7da49e042eea327284e2,source workbook; not copied or modified
