left_source_variant,right_source_variant,left_dataset,right_dataset,condition,left_template_id,right_template_id,exact_same,normalized_same,changed_line_n,added_line_n,removed_line_n,unified_diff,notes
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C01,PROMPT_1A06DFC3233F,PROMPT_1A06DFC3233F,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C02,PROMPT_1A06DFC3233F,PROMPT_1A06DFC3233F,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C03,PROMPT_2F50ED43849A,PROMPT_2F50ED43849A,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C04,PROMPT_2F50ED43849A,PROMPT_2F50ED43849A,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C05,PROMPT_901D51584105,PROMPT_901D51584105,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C06,PROMPT_901D51584105,PROMPT_901D51584105,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C07,PROMPT_6D34E5D22513,PROMPT_6D34E5D22513,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C08,PROMPT_6D34E5D22513,PROMPT_6D34E5D22513,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C09,PROMPT_F9B6FD25D16D,PROMPT_F9B6FD25D16D,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C10,PROMPT_F9B6FD25D16D,PROMPT_F9B6FD25D16D,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C11,PROMPT_1D8CACFEAFF2,PROMPT_1D8CACFEAFF2,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C12,PROMPT_1D8CACFEAFF2,PROMPT_1D8CACFEAFF2,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C13,PROMPT_901D51584105,PROMPT_901D51584105,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C14,PROMPT_901D51584105,PROMPT_901D51584105,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C15,PROMPT_6D34E5D22513,PROMPT_6D34E5D22513,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
HAMD_code,HAMD_docx,HAMD-17,HAMD-17,C16,PROMPT_6D34E5D22513,PROMPT_6D34E5D22513,yes,yes,0,0,0,,HAMD/PHQ使用不同量表提示词是预期差异；该表不是条件效应比较。
