source_label,source_kind,path,exists,size_bytes,sha256,used_as_authority,notes
9eval_main.py,code,_新结构_待启用/scripts/9eval_main.py,yes,44225,b1a7d32371e40dc1d081a3ba70ebf56dc4f779bb2514432e286bce45fe229410,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
word_prompt_templates.py,code,_新结构_待启用/scripts/word_prompt_templates.py,yes,19415,b0bfc5d83939b9efe0233641b0a018548432d142fa96c7bd60cc7e27bb0fbae6,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
prompt_docx_loader.py,code,_新结构_待启用/scripts/prompt_docx_loader.py,yes,2367,342f298c8cbe94aae95f9da1ba61192c554f1dff8ef447e3cd9d2fd407d092bc,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
high_concurrency_repair.py,code,_新结构_待启用/scripts/high_concurrency_repair.py,yes,16247,96f5e1d6e74b5c3155492830ea88cabb0e77228a04cffd0733d60cf279c28857,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
runtime_config.py,code,_新结构_待启用/scripts/runtime_config.py,yes,1902,8fca70a538f46ebe86a86f6d01b12813ad2f95d448117f5736b6570b04f90e64,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
run_hamd_remaining_3models.py,code,_新结构_待启用/scripts/run_hamd_remaining_3models.py,yes,3161,bec894b3fd7064a0a5a6f0530933aff88c2a03ff7f22e22c895632999565c5e2,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
run_PHQ全量189人.ps1,code,_新结构_待启用/PHQ全量189人_调用就绪/run_PHQ全量189人.ps1,yes,1703,bd02939b98053c739c4654a3d4eb9ef8b73fcdac5257e5ac5fb2850c0817cb8d,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
hamd_prompt_docx,docx,正式使用提示词.docx,yes,83585,68b20fdf093a3a060f6e2ac12b18cc5d5b90763d966880aec5a49832686a5436,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
phq_prompt_docx,docx,_新结构_待启用/PHQ全量189人_调用就绪/prompts/PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,yes,41888,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
source_workbook,workbook,github_upload_20260806/PDCH_PHQ_HAMD_所有模型所有条件_提示词字段完整修正版_20260807.xlsx,yes,125056024,b3286e7dbb28dc40f218b9ae35f87da7307cf7a0b7cb7da49e042eea327284e2,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
hamd_prompt_docx_runtime_copy,docx,_新结构_待启用/hamd正式使用提示词.docx,yes,83585,68b20fdf093a3a060f6e2ac12b18cc5d5b90763d966880aec5a49832686a5436,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
phq_prompt_docx_line_number_copy,docx,_新结构_待启用/PHQ行号数据/PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,yes,41888,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,yes,source workbook read-only; source code and prompt DOCX are the authority for this module
source_workbook_integrity,workbook_check,PDCH_PHQ_HAMD_所有模型所有条件_提示词字段完整修正版_20260807.xlsx,yes,125056024,b3286e7dbb28dc40f218b9ae35f87da7307cf7a0b7cb7da49e042eea327284e2,provenance_only,actual_xlsx=True; unchanged=True; scan=zip_xml_dimensions
