manifest_path,dataset,dataset_source,dataset_folder,run_variant,created_at,prompt_version,prompt_language,prompt_docx_recorded,prompt_docx_resolved,prompt_docx_sha256,source_mode,model_n,models,conditions,is_primary_run
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260627_203851\manifest.json,PHQ-8,PHQ8,,,2026-06-27T20:38:51,phq8-english-2026-06-27,en,PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,glm-5.2,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260627_204043\manifest.json,PHQ-8,PHQ8,,,2026-06-27T20:40:43,phq8-english-2026-06-27,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,glm-5.2,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260627_204554\manifest.json,PHQ-8,PHQ8,,,2026-06-27T20:45:54,phq8-english-2026-06-27,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,glm-5.2,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260627_210451\manifest.json,PHQ-8,PHQ8,,,2026-06-27T21:04:51,phq8-english-2026-06-27,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,2,"glm-5.2,qwen3.7-max","""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260627_214148\manifest.json,PHQ-8,PHQ8,,,2026-06-27T21:41:48,phq8-english-2026-06-27,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,deepseek-v4-pro,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_035331\manifest.json,PHQ-8,PHQ8,,,2026-06-28T03:53:31,phq8-english-2026-06-27,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,glm-5.2,"[""4"", ""12"", ""13"", ""15"", ""16"", ""22"", ""24""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_035355\manifest.json,PHQ-8,PHQ8,,,2026-06-28T03:53:55,phq8-english-2026-06-27,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,deepseek-v4-pro,"[""19""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_035934\manifest.json,PHQ-8,PHQ8,,,2026-06-28T03:59:34,phq8-english-2026-06-27,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,2,"MiniMax-M2.5,kimi-k2.6","""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_040236\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T04:02:36,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,glm-5.2,"[""15"", ""16""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_040259\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T04:02:59,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,glm-5.2,"[""15"", ""16""]",yes
